,Cum_ret,Market_cap,Gap,EAR,Intraday,Revision,Rating,Vol,Distance_high,RSI,AUTOR,MA50,MA150,PE,PE_premium,Sector
"('G1A GR', '07/Mar/2014', '06/May/2014', '06/May/2014')",-0.11051050858269951,6711.355,0.08357364598819444,-0.3593666777492179,-0.4429403237374123,-0.010014306151645164,-0.3493523715975727,0.017054581646307142,0.8083989501312338,56.20247455981125,0.17556619723261596,0.537880906026189,4.350539460360425,16.3537409998093,0.2727010147947124,Industrial Goods & Services
"('G1A GR', '31/Oct/2013', '07/Mar/2014', '07/Mar/2014')",0.061157459331821595,6198.3546,0.08504019415947757,2.915663799753309,2.830623605593831,-0.01858542142398739,2.9342492211772964,0.013276454378117985,0.9440879926672778,60.74136871968612,-1.1835787031377385,2.5486072493236986,7.0348783272074575,14.641151875134698,0.19532902181171696,Industrial Goods & Services
"('G1A GR', '30/Jul/2013', '31/Oct/2013', '31/Oct/2013')",-0.042925368817182674,5824.9133,-0.10429698324492542,3.256383587980344,3.360680571225269,0.013529860682622737,3.2428537272977214,0.014952702351918541,1.0,77.85208011629628,1.5400516559029134,4.69369911940051,8.068435863065323,14.308319904444373,0.19645415804292976,Industrial Goods & Services
"('G1A GR', '08/May/2013', '30/Jul/2013', '30/Jul/2013')",0.13375205623460618,4995.2582,0.23747406190770487,-0.49756470113998685,-0.7350387630476918,-0.011656023420998075,-0.48590867771898877,0.01689543569288048,0.46105919003115264,62.419812132021875,-2.0430026523180733,-0.26664589753478896,1.1136896114213952,12.591144039036914,0.056058115554587395,Industrial Goods & Services
"('G1A GR', '11/Mar/2013', '08/May/2013', '08/May/2013')",-0.024149866170409817,5106.9056,-0.332179184927693,-0.3100339059325121,0.022145278995180873,0.010238907849829306,-0.3202728137823414,0.01693151533291877,0.7421524663677134,65.32290103542968,-1.162804952037259,0.09365529380493724,5.095503040923655,12.672814046184754,0.06146441880425524,Industrial Goods & Services
"('G1A GR', '29/Oct/2012', '11/Mar/2013', '11/Mar/2013')",-0.04659669333081096,4553.0101,-0.08078546061574807,0.9424970405169824,1.0232825011327304,0.020060059331829846,0.9224369811851525,0.01554758012184641,0.8090185676392571,36.277387233374675,1.3725610052251167,1.8451791074190553,3.1994477737730134,12.052906066694103,0.0025302602825028053,Industrial Goods & Services
"('G1A GR', '30/Jul/2012', '29/Oct/2012', '29/Oct/2012')",-0.052377627787298486,4190.8178,-1.2318116472728984,0.0,1.2318116472728984,-0.017325184705012243,0.017325184705012243,0.02421194950505396,0.4761182714177409,45.23013015970597,-0.11782174925967832,3.211065316113034,-1.3349498781118723,11.333135556453719,-0.07694079527952791,Industrial Goods & Services
"('G1A GR', '08/May/2012', '30/Jul/2012', '30/Jul/2012')",-0.05753751288807163,4182.5465,-0.20022307363151162,-2.782046917827357,-2.581823844195845,-0.04382564955408123,-2.738221268273276,0.019708028676581633,0.5530012771392081,32.627494193077496,-2.735418341825045,-4.360808516745642,-0.7733131830771437,11.004669898254468,-0.13231694892413215,Industrial Goods & Services
"('G1A GR', '12/Mar/2012', '08/May/2012', '08/May/2012')",0.04450016995474804,4665.042,0.41129845896697925,0.7843365961695852,0.3730381372026059,-0.008737864077669803,0.793074460247255,0.020934511693781774,0.9263050153531216,34.91120749907158,-0.36281103158072936,1.667239838912947,5.858112161672107,12.259100984640405,-0.047795115664876375,Industrial Goods & Services
"('G1A GR', '02/Nov/2011', '12/Mar/2012', '12/Mar/2012')",0.0637818979718654,3748.7601,0.3742115122299578,1.3030579443721821,0.9288464321422243,-0.002318674011948259,1.3053766183841304,0.03852934816929431,0.4467032967032968,51.59509360813914,0.36644177326991517,1.7227387574999309,-2.0514164304881675,11.139207932561039,-0.16214323507386663,Industrial Goods & Services
"('G1A GR', '29/Jul/2011', '02/Nov/2011', '02/Nov/2011')",-0.0062851703063598885,4312.131,-0.27615949183395705,0.45290156660770303,0.7290610584416601,0.005370813397129191,0.44753075321057384,0.019464071634432263,0.5895833333333337,40.30794703902784,-0.2793480566488783,-0.433921566382201,1.0661674542004769,12.62599805130342,-0.07055761434523067,Industrial Goods & Services
"('G1A GR', '06/May/2011', '29/Jul/2011', '29/Jul/2011')",0.07868711192049327,4319.4833,-0.29769323235562367,-0.9639590381039153,-0.6662658057482915,0.009258906904059335,-0.9732179450079745,0.014794969913343479,0.7641099855282201,53.36541564576354,-0.8982582051627374,0.98637674084316,5.524713976673123,13.719734888740582,0.0007580480550124502,Industrial Goods & Services
"('G1A GR', '10/Mar/2011', '06/May/2011', '06/May/2011')",0.0733939357868787,4060.3143,-0.040672987148911106,-0.976151691573831,-0.9354787044249199,0.02470741222366712,-1.000859103797498,0.02178674584260949,0.8011811023622045,43.69710695738653,-0.4742854071014118,0.4076776374120181,6.807518631302312,13.41977383734443,-0.032786189370394125,Industrial Goods & Services
"('POM FP', '23/Jul/2015', '25/Feb/2016', '25/Feb/2016')",0.0014820452632802184,3982.2444,2.400596045322785,3.2605110466324425,0.8599150013096577,-0.024886407089997155,3.2853974537224397,0.023151999354645642,0.7189922480620157,73.16818992377222,1.7398907623354676,2.3116693837163576,1.7823560537289604,13.329223680544565,0.45390983514608063,Automobiles & Parts
"('POM FP', '22/Apr/2015', '23/Jul/2015', '23/Jul/2015')",-0.046621530227406005,4100.4985,0.33571004051332876,0.0,-0.33571004051332876,0.002130856770989138,-0.002130856770989138,0.022312817015142167,0.925068870523416,53.03629393696388,-1.119005542787577,1.1183753713252984,9.007954340131816,13.257771367265985,0.4809169664972073,Automobiles & Parts
"('POM FP', '25/Feb/2015', '22/Apr/2015', '22/Apr/2015')",-0.044539518655485555,4089.7481,-0.6661195296289206,0.8063552200771087,1.4724747497060293,0.026967528893781047,0.7793876911833276,0.01627738785649023,1.0,49.721966421555884,0.2867975058834212,6.636619477043619,13.67762914092605,14.44836148163616,0.6396595372072467,Automobiles & Parts
