,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
G IM,2014-07-07,2014-07-08,2014-07-07,2014-07-08,G IM,Assicurazioni Generali SpA,636.09,29.7775,15.7,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",33260.0,-0.7643300295,-0.7006357312,33260.0,133.01192385327386,['Bank of America Merrill Lynch'],15.6514,16.05,-0.02180685358255463,-0.0030955414012737714,True
RBS LN,2014-07-03,2014-07-09,2014-07-03,2014-07-09,RBS LN,Royal Bank of Scotland Group P,87.455,15.5058,328.91,"ADDL,Primary Share Offering",0.0,-3.59064889,-4.259524822,65056.2258,50.913712872122055,[None],316.7953,332.8,-0.011688701923076916,-0.03683287221428366,False
ACX SM,2014-07-03,2014-07-04,2014-07-03,2014-07-04,ACX SM,Acerinox SA,136.419,7.7143,13.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4543.19,-0.5,-1.384615421,4543.19,16.856982431804017,['UBS'],12.9547,13.3,-0.022556390977443663,-0.0034846153846153083,True
RHK GR,2014-06-30,2014-06-30,2014-06-30,2014-06-30,RHK GR,RHOEN-KLINIKUM AG,219.15,6.9,23.2,"ADDL,Secondary Share Offering,Bought Deal",4389.34,2.543100119,2.15516901,4389.34,9.263655183282053,['Joh Berenberg Gossler & Co KG'],24.233,23.855,-0.027457556067910338,0.04452586206896547,False
OTELLO NO,2014-06-26,2014-06-27,2014-06-26,2014-06-27,OTELLO NO,Otello Corp ASA,130.348,10.0,80.0,"ADDL,Primary Share Offering",1860.49,1.8125,2.25,1860.49,3.8235451717239424,"['ABG Sundal Collier Asa', 'DNB ASA', 'Goldman Sachs', 'Morgan Stanley']",81.6343,83.4,-0.04076738609112718,0.020428749999999996,True
IMG LN,2014-06-26,2014-06-27,2014-06-26,2014-06-27,IMG LN,Imagination Technologies Group,87.2275,25.0,205.0,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild",934.024,6.146341324,2.975609779,934.024,4.943051546535122,"['Credit Suisse', 'Jefferies', 'JP Morgan']",205.4098,224.8,-0.08807829181494664,0.0019990243902439087,True
IPH FP,2014-06-24,2014-06-24,2014-06-24,2014-06-24,IPH FP,Innate Pharma SA,67.935,6.25,8.0,"ADDL,Primary Share Offering",0.0,15.5,12.0,581.4042,10.481938835302131,[None],9.1176,9.16,-0.1266375545851528,0.13969999999999994,False
ENGI FP,2014-06-24,2014-06-25,2014-06-24,2014-06-25,ENGI FP,Engie SA,2056.39,75.0,20.18,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",66403.8,1.214071751,0.3716535866,66403.8,142.24626104249631,"['Bank of America Merrill Lynch', 'Citi', 'Goldman Sachs', 'Societe Generale']",20.274,20.81,-0.03027390677558861,0.00465807730426171,True
ATCT NA,2014-06-23,2014-06-24,2014-06-23,2014-06-24,ATCT NA,Altice SA,1238.75,17.9,50.9,"ADDL,Primary Share Offering,Accelerated Bookbuild,Block",15417.7,0.9037297964,0.1768142879,15417.7,25.869149968344438,"['Deutsche Bank', 'Goldman Sachs']",50.669,53.0,-0.03962264150943395,-0.004538310412573687,True
MONC IM,2014-06-19,2014-06-20,2014-06-19,2014-06-20,MONC IM,Moncler SpA,292.354,17.8268,12.04,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",4088.78,0.08305679262,-1.162790418,4088.78,12.026598064183881,['UBS'],11.9964,12.1,-0.0049586776859504855,-0.003621262458471719,True
