,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
ATO FP,2015-02-24,2015-02-25,2015-02-24,2015-02-25,ATO FP,Atos SE,659.642,9.2,63.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",7294.68,0.252964437,0.4584980309,7294.68,25.827753490651148,"['BNP Paribas', 'Morgan Stanley']",63.6947,66.0,-0.04166666666666663,0.0070308300395256484,True
ISAT LN,2015-02-23,2015-02-24,2015-02-23,2015-02-24,ISAT LN,Inmarsat PLC,282.185,21.7391,840.0,"ADDL,Secondary Share Offering,Rule 144A",5822.08,2.678571463,3.869047642,5822.08,9.780348539545649,['Nomura'],859.4423,887.5,-0.05352112676056342,0.02314559523809523,False
RECIB SS,2015-02-20,2015-02-20,2015-02-20,2015-02-20,RECIB SS,Recipharm AB,50.819,2.69,158.0,"ADDL,Secondary Share Offering,Block",0.0,1.898734212,6.012658119,860.9906,2.199511305893201,['Carnegie'],157.9829,157.5,0.0031746031746031633,-0.00010822784810127217,False
NN NA,2015-02-17,2015-02-18,2015-02-17,2015-02-18,NN NA,NN Group NV,1424.97,52.0,24.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",9591.59,2.5,4.791666508,9591.59,6.2052806026292995,"['ING Groep', 'ABN Amro Bank NV', 'Citi', 'Commerzbank', 'Deutsche Bank', 'HSBC', 'Morgan Stanley']",24.4737,24.755,-0.030498889113310446,0.019737499999999963,True
BT/A LN,2015-02-12,2015-02-17,2015-02-12,2015-02-17,BT/A LN,BT Group PLC,1551.82,221.9,455.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",58556.9,-2.813186884,-4.307692528,58556.9,105.92479940715857,"['Goldman Sachs', 'JP Morgan', 'Bank of America Merrill Lynch']",441.0327,450.0,0.011111111111111072,-0.03069736263736267,True
RKET GR,2015-02-12,2015-02-13,2015-02-12,2015-02-13,RKET GR,Rocket Internet SE,670.184,12.0102,49.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild",0.0,7.102040768,2.438775539,9118.7709,5.042605270226416,"['Joh Berenberg Gossler & Co KG', 'JP Morgan', 'Morgan Stanley']",50.7459,52.291,-0.06293626054196699,0.03563061224489794,True
VALMT FH,2015-02-12,2015-02-13,2015-02-12,2015-02-13,VALMT FH,Valmet Oyj,135.116,10.4905,11.31,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1930.23,0.3536655903,-0.3536730111,1930.23,5.657938601187723,['UBS'],11.4216,12.16,-0.06990131578947367,0.009867374005305019,True
IMG LN,2015-02-12,2015-02-12,2015-02-12,2015-02-12,IMG LN,Imagination Technologies Group,50.4597,13.4,245.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1020.2,2.448979616,5.306122303,1020.2,2.4380567012262495,['JP Morgan'],263.6115,265.0,-0.07547169811320753,0.07596530612244878,True
MS IM,2015-02-12,2015-02-13,2015-02-12,2015-02-13,MS IM,Mediaset SpA,429.555,92.0,4.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",5515.24,-2.78048563,-5.512192726,5515.24,45.11318448278124,"['Bank of America Merrill Lynch', 'UniCredit']",4.0481,4.2620000000000005,-0.03801032379164726,-0.012658536585365865,True
KGX GR,2015-02-12,2015-02-12,2015-02-12,2015-02-12,KGX GR,KION Group AG,178.656,4.842,32.4,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3649.13,2.484563112,8.719130516,3649.13,5.18122830081503,"['Goldman Sachs', 'Deutsche Bank']",33.181,32.852,-0.013758675270911902,0.02410493827160498,True
TELIA SS,2015-02-10,2015-02-11,2015-02-10,2015-02-11,TELIA SS,Telia Co AB,1225.3,200.0,51.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S",26307.6,,,26307.6,51.255182622429565,[None],51.4007,52.5,-0.02857142857142858,0.007856862745098114,False
PLND LN,2015-02-10,2015-02-11,2015-02-10,2015-02-11,PLND LN,Poundland Group Ltd,216.282,35.0,405.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1544.87,-3.753086329,-6.172839642,1544.87,2.038069843491725,"['Credit Suisse', 'JP Morgan']",391.9152,416.9,-0.028544015351403162,-0.032308148148148086,True
BOSS GR,2015-02-09,2015-02-10,2015-02-09,2015-02-10,BOSS GR,HUGO BOSS AG,1040.0,9.0,102.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",8122.92,4.941176414,5.884313583,8122.92,19.202678202603764,['UBS'],105.2102,103.53,-0.014778325123152691,0.03147254901960794,True
GMAB DC,2015-02-04,2015-02-05,2015-02-04,2015-02-05,GMAB DC,Genmab A/S,294.839,4.4712,430.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3768.5,4.674418449,7.581395149,3768.5,13.543438882321606,['Deutsche Bank'],447.3342,471.0,-0.08704883227176219,0.04031209302325589,False
CIE SM,2015-02-04,2015-02-04,2015-02-04,2015-02-04,CIE SM,CIE Automotive SA,88.4891,6.46,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,2.5,0.8333333135,1836.2511,2.684762115705735,['UBS'],12.4532,12.47,-0.03769045709703289,0.037766666666666726,True
ANIM IM,2015-02-03,2015-02-04,2015-02-03,2015-02-04,ANIM IM,Anima Holding SpA,115.051,22.4178,4.474,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1538.63,0.1341086924,2.592758656,1538.63,2.2449817818490834,['UBS'],4.5843,4.474,0.0,0.024653553866785805,True
BME LN,2015-02-03,2015-02-04,2015-02-03,2015-02-04,BME LN,B&M European Value Retail SA,582.144,120.0,320.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",4851.2,-0.3125,-2.1875,4851.2,1.8682155888228895,"['Bank of America Merrill Lynch', 'Deutsche Bank']",315.8112,320.0,0.0,-0.013090000000000046,True
CRH ID,2015-02-02,2015-02-05,2015-02-02,2015-02-05,CRH ID,CRH PLC,1833.42,74.0399,21.85,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,6.864986897,6.49885416,19279.4606,20.98824180849386,"['Davy', 'JP Morgan', 'Bank of America Merrill Lynch', 'UBS']",23.4304,22.965,-0.04855214456782053,0.07232951945080068,True
EDP PL,2015-01-29,2015-02-03,2015-01-29,2015-02-03,EDP PL,EDP - Energias de Portugal SA,281.551,73.2499,3.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.205885157,-1.647061586,14600.2857,23.456089504305616,"['Caixa Banco de Investimento SA', 'Banco Comercial Portugues SA', 'Morgan Stanley', 'Novo Banco SA']",3.3811999999999998,3.532,-0.03737259343148358,-0.005529411764705894,True
BC IM,2015-01-29,2015-01-30,2015-01-29,2015-01-30,BC IM,Brunello Cucinelli SpA,71.0994,3.494,18.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,2.222222328,0.555555582,1502.8867,1.830378663722392,['Bank of America Merrill Lynch'],18.2989,19.55,-0.07928388746803072,0.01660555555555554,True
ARL GR,2015-01-29,2015-01-30,2015-01-29,2015-01-30,ARL GR,Aareal Bank AG,615.934,17.2963,31.5,"ADDL,Secondary Share Offering,Block",0.0,6.238095284,7.942857265,2145.0942,7.51724294837204,"['Bankhaus Lampe KG', 'Deutsche Bank']",33.044,31.7,-0.006309148264984188,0.04901587301587296,False
BAVA DC,2015-01-26,2015-01-26,2015-01-26,2015-01-26,BAVA DC,Bavarian Nordic A/S,54.3145,1.7939,200.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",837.81,4.0,1.5,837.81,3.8267456668371147,"['Jefferies', 'Nordea Bank Abp']",213.3697,215.0,-0.06976744186046513,0.06684849999999987,False
GTT FP,2015-01-26,2015-01-27,2015-01-26,2015-01-27,GTT FP,Gaztransport Et Technigaz SA,87.2422,1.6113,48.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",2003.33,1.0,0.8541666865,2003.33,2.540543466677832,['Morgan Stanley'],48.0466,49.6,-0.032258064516129115,0.0009708333333333652,True
SSPG LN,2015-01-22,2015-01-23,2015-01-22,2015-01-23,SSPG LN,SSP Group Plc,332.006,84.3506,262.0,"ADDL,Secondary Share Offering,PE Backed,Accelerated Bookbuild,REG S,Rule 144A",1868.99,4.198473454,4.198473454,1868.99,2.040098415690802,"['Goldman Sachs', 'Morgan Stanley']",262.7124,265.0,-0.01132075471698113,0.002719083969465741,True
NHH SM,2015-01-22,2015-01-23,2015-01-22,2015-01-23,NHH SM,NH Hotel Group SA,129.545,26.7779,4.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1675.49,0.0,4.823529243,1675.49,5.531951994313596,['UBS'],4.2993,4.36,-0.025229357798165264,0.011599999999999833,True
SPD LN,2015-01-20,2015-01-20,2015-01-20,2015-01-20,SPD LN,Sports Direct International PL,168.005,15.4,720.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.736111164,-0.4861111045,6896.1678,13.659071124848715,['Goldman Sachs'],722.9059,760.5,-0.053254437869822535,0.004035972222222295,True
AMS SM,2015-01-15,2015-01-16,2015-01-15,2015-01-16,AMS SM,Amadeus IT Group SA,379.081,9.8572,33.15,"ADDL,Secondary Share Offering,Accelerated Bookbuild",17134.1,0.6033136249,0.9049727321,17134.1,82.61819511172074,['Citi'],33.1743,33.89,-0.021835349660666914,0.0007330316742082399,False
SPI LN,2015-01-14,2015-01-14,2015-01-14,2015-01-14,SPI LN,Spire Healthcare Group PLC,192.303,40.1081,315.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,3.174603224,0.0,2074.4314,1.43116551323099,"['Bank of America Merrill Lynch', 'JP Morgan', 'Morgan Stanley']",342.5283,339.8,-0.07298410829899948,0.08739142857142856,True
SAN SM,2015-01-08,2015-01-13,2015-01-08,2015-01-13,SAN SM,Banco Santander SA,8862.75,1213.59,6.18,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,-3.608411551,-3.737861395,101955.5983,680.1233692975811,"['Goldman Sachs', 'UBS']",6.1127,6.856,-0.09859976662777137,-0.010889967637540354,True
BOSS GR,2014-12-11,2014-12-12,2014-12-11,2014-12-12,BOSS GR,HUGO BOSS AG,619.102,4.9,102.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,-1.382352948,-2.753921509,8912.298,24.943073128696007,['UBS'],101.4172,102.2,-0.00195694716242667,-0.005713725490196109,True
CARD LN,2014-12-10,2014-12-10,2014-12-10,2014-12-10,CARD LN,Card Factory PLC,166.515,40.0,265.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit",0.0,-1.886792421,-0.3773584962,1418.2792,1.8140564328089916,['Liberum Capital Ltd'],264.9142,265.0,0.0,-0.0003237735849056511,False
ENX FP,2014-12-08,2014-12-08,2014-12-08,2014-12-08,ENX FP,Euronext NV,119.269,4.2108,23.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.739130378,2.478260756,2125.8153,4.124602702394161,"['ABN Amro Bank NV', 'JP Morgan', 'Societe Generale']",24.5231,24.66,-0.0673154906731549,0.06622173913043472,True
PNDORA DC,2014-12-08,2014-12-08,2014-12-08,2014-12-08,PNDORA DC,Pandora A/S,507.503,5.8966,520.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,0.0,-0.1923076957,11238.6013,59.82216141139746,['Goldman Sachs'],531.4534,530.0,-0.018867924528301883,0.022025769230769265,True
1620741D LN,2014-12-04,2014-12-10,2014-12-04,2014-12-10,1620741D LN,BGEO Group Ltd,113.982,3.5909,2025.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,1.283950567,-3.753086329,1252.9699,3.4724943204931056,"['Citi', 'Numis', 'RBC Capital Markets']",2070.927,2226.0,-0.09029649595687328,0.022680000000000033,False
BTG LN,2014-12-04,2014-12-08,2014-12-04,2014-12-08,BTG LN,BTG PLC,235.125,18.8679,795.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-0.06289308518,-0.880503118,4527.1592,9.615171034853766,"['Deutsche Bank', 'JP Morgan']",798.545,796.0,-0.0012562814070351536,0.0044591194968552905,True
ATL IM,2014-12-04,2014-12-05,2014-12-04,2014-12-05,ATL IM,Atlantia SpA,275.962,11.6,19.26,"ADDL,Secondary Share Offering",0.0,3.167184591,2.440289497,20182.677,46.027104943592235,"['Intesa Sanpaolo', 'Bank of America Merrill Lynch']",19.7732,19.75,-0.024810126582278436,0.026645898234683107,True
ONTEX BB,2014-12-03,2014-12-04,2014-12-03,2014-12-04,ONTEX BB,Ontex Group NV,426.368,16.5,21.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,4.309523582,4.761904716,1883.7845,2.2299371196020723,"['Bank of America Merrill Lynch', 'Goldman Sachs', 'UBS']",21.7086,22.495,-0.06645921315847969,0.033742857142857074,True
NXI FP,2014-12-02,2014-12-03,2014-12-02,2014-12-03,NXI FP,Nexity SA,80.9301,2.2,29.7,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.683499098,2.693599939,2080.3657,2.7130002443688066,['Societe Generale'],29.9425,31.0,-0.041935483870967794,0.008164983164983264,False
ISS DC,2014-12-02,2014-12-03,2014-12-02,2014-12-03,ISS DC,ISS A/S,674.18,25.0,162.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,3.271605015,2.592592478,5229.4815,15.045168673855855,"['Goldman Sachs', 'Barclays', 'Danske Bank']",165.3314,169.2,-0.04255319148936165,0.020564197530864137,True
JE/ LN,2014-12-02,2014-12-03,2014-12-02,2014-12-03,JE/ LN,Just Eat PLC,217.709,43.5,320.0,"ADDL,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,-3.1875,-3.90625,3013.1909,5.975812301389904,"['Goldman Sachs', 'JP Morgan']",319.3903,339.2,-0.05660377358490565,-0.0019053124999999227,True
RBS LN,2014-11-25,2014-12-01,2014-11-25,2014-12-01,RBS LN,Royal Bank of Scotland Group P,100.525,16.7804,381.398,"ADDL,Primary Share Offering",0.0,1.442584753,3.513911724,69591.2608,68.26957760773588,[None],387.7783,387.1,-0.014730043916300728,0.01672871908085516,False
DRI GR,2014-11-24,2014-11-24,2014-11-24,2014-11-24,DRI GR,1&1 Drillisch AG,177.33,5.189,27.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",0.0,2.363636255,3.141818285,1863.9633,12.565910946535471,['Joh Berenberg Gossler & Co KG'],28.9024,28.2,-0.024822695035460973,0.05099636363636373,False
TWEKA NA,2014-11-20,2014-11-20,2014-11-20,2014-11-20,TWEKA NA,TKH Group NV,94.0417,3.0612,24.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1291.09,3.265306234,2.693877459,1291.09,3.1520788121783396,"['ABN Amro Bank NV', 'Rabobank']",25.0242,25.1,-0.02390438247011961,0.02139591836734689,False
BBVA SM,2014-11-19,2014-11-24,2014-11-19,2014-11-24,BBVA SM,Banco Bilbao Vizcaya Argentari,2510.0,242.424,8.25,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",0.0,2.787878752,3.624242306,64310.7286,516.4407900074996,"['Bank of America Merrill Lynch', 'Morgan Stanley']",8.5017,8.643,-0.04547032280458185,0.03050909090909082,True
INF LN,2014-11-18,2014-11-20,2014-11-18,2014-11-20,INF LN,Informa PLC,323.914,45.0,460.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",0.0,0.7608695626,0.1086956486,4437.9418,9.065220150099833,"['Barclays', 'Bank of America Merrill Lynch']",460.1545,469.6,-0.020442930153321992,0.00033586956521736155,True
CRST LN,2014-11-18,2014-11-19,2014-11-18,2014-11-19,CRST LN,Crest Nicholson Holdings plc,129.805,25.368,327.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",0.0,2.538226366,4.220183372,1314.0887,2.6754672939379054,"['Barclays', 'Deutsche Bank']",331.488,334.0,-0.020958083832335328,0.0137247706422019,False
ATCT NA,2014-11-17,2014-11-17,2014-11-17,2014-11-17,ATCT NA,Altice SA,420.12,7.5,45.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,2.422222137,2.799999952,14772.2231,7.683514190829281,"['Goldman Sachs', 'JP Morgan']",47.8637,47.905,-0.06064085168562783,0.0636377777777779,True
SLHN SW,2014-11-13,2014-11-14,2014-11-13,2014-11-14,SLHN SW,Swiss Life Holding AG,363.407,1.6149,217.0,"ADDL,Secondary Share Offering,Block",7256.69,-0.1843318045,0.1843318045,7256.69,22.331785068414614,['Deutsche Bank'],217.4861,223.0,-0.026905829596412523,0.0022400921658984885,False
ESNT LN,2014-11-12,2014-11-14,2014-11-12,2014-11-14,ESNT LN,Essentra PLC,266.64,23.6598,713.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,6.306937695,6.867554188,2749.3874,4.748918372908874,['Deutsche Bank'],762.0692,735.0,-0.029251700680272164,0.06807175893482831,False
JE/ LN,2014-11-12,2014-11-12,2014-11-12,2014-11-12,JE/ LN,Just Eat PLC,57.8492,12.5,293.0,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild,REG S,Rule 144A",2627.74,9.795222282,9.215017319,2627.74,5.627118825837875,['Jefferies'],294.5629,321.0,-0.08722741433021808,0.005334129692832867,False
KGX GR,2014-11-10,2014-11-11,2014-11-10,2014-11-11,KGX GR,KION Group AG,289.301,8.0,29.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3587.13,-1.192441106,-2.233678341,3587.13,4.220300223513853,['Goldman Sachs'],28.9845,29.7,-0.02020202020202011,-0.003969072164948462,True
CWC LN,2014-11-06,2014-11-11,2014-11-06,2014-11-11,CWC LN,Cable & Wireless Communication,180.204,252.812,45.0,"ADDL,Primary Share Offering,REG S,Rule 144A",2081.17,5.222222328,5.933333397,2081.17,5.2194739000725505,['Deutsche Bank'],47.1197,45.3,-0.0066225165562913135,0.04710444444444439,False
VNA GR,2014-11-05,2014-11-12,2014-11-05,2014-11-12,VNA GR,Vonovia SE,563.139,19.6,23.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",7186.53,8.413043022,7.882608891,7186.53,9.691246872613592,"['Barclays', 'JP Morgan']",24.7239,23.6,-0.025423728813559365,0.07495217391304343,True
KU2 GR,2014-11-05,2014-11-10,2014-11-05,2014-11-10,KU2 GR,KUKA AG,109.739,1.7928,49.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,12.69387722,11.37755108,2227.4109,11.397808890965457,[None],54.730199999999996,52.574,-0.06798037052535466,0.11694285714285702,False
ELE SM,2014-11-05,2014-11-21,2014-11-05,2014-11-21,ELE SM,Endesa SA,3913.68,201.8,13.5,"ADDL,Secondary Share Offering",3928.41,7.333333492,10.29629612,3928.41,29.560441710760486,"['Banco Bilbao Vizcaya Argentaria', 'Banco Santander', 'Credit Suisse', 'Goldman Sachs', 'JP Morgan', 'Morgan Stanley', 'UBS']",14.1844,14.62,-0.07660738714090287,0.05069629629629624,True
TELIA SS,2014-11-05,2014-11-05,2014-11-05,2014-11-05,TELIA SS,Telia Co AB,684.292,100.0,50.42,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S",29630.6,,,29630.6,60.06672923561816,[None],51.6392,51.9,-0.028516377649325575,0.02418088060293533,False
ARCAD NA,2014-11-03,2014-11-06,2014-11-03,2014-11-06,ARCAD NA,Arcadis NV,216.957,7.5554,23.0,"ADDL,Primary Share Offering,Best Efforts,Accelerated Bookbuild",0.0,3.913043499,4.847826004,2295.0174,5.642662811831953,"['BNP Paribas', 'HSBC', 'ING Groep']",23.822400000000002,24.33,-0.05466502260583639,0.035756521739130465,False
MERL LN,2014-10-29,2014-10-30,2014-10-29,2014-10-30,MERL LN,Merlin Entertainments PLC,421.234,75.0,349.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,0.573065877,1.002865314,5840.4889,5.330350316690433,['Citi'],350.6186,358.0,-0.025139664804469275,0.00463782234957022,False
LEG GR,2014-10-09,2014-10-09,2014-10-09,2014-10-09,LEG GR,LEG Immobilien AG,410.132,6.4659,50.0,"ADDL,Primary Share Offering,Secondary Share Offering,Block",0.0,1.879999995,4.519999981,3231.8113,6.685913376664366,"['Deutsche Bank', 'Goldman Sachs']",52.0975,48.1,0.03950103950103956,0.04194999999999993,True
KWE LN,2014-10-02,2014-10-08,2014-10-02,2014-10-08,KWE LN,Kennedy Wilson Europe Real Est,162.153,9.9824,1006.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,5.864810944,4.373757362,1713.8184,1.9108997167057467,"['Bank of America Merrill Lynch', 'Davy', 'Deutsche Bank', 'JP Morgan']",1055.453,1059.0,-0.050047214353163394,0.04915805168986087,True
RBS LN,2014-09-30,2014-10-06,2014-09-30,2014-10-06,RBS LN,Royal Bank of Scotland Group P,137.862,23.8838,355.89,"ADDL,Primary Share Offering",0.0,4.358083725,3.880408287,68207.2118,66.69598417742932,[None],370.5739,368.2,-0.03343291689299299,0.041259658883362915,False
