,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV
FTAI US,2018-01-10,2018-01-11,2018-01-10,2018-01-10,2018-01-11,FTAI US,Fortress Transportation & Infr,130.55,7.0,18.65,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1543.83,-1.394099832,-0.26809448,"Morgan Stanley, Barclays, Citi",1543.83,3.234227759222223
OKE US,2018-01-04,2018-01-05,2018-01-04,2018-01-04,2018-01-05,OKE US,ONEOK Inc,1190.82,19.0,54.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Block",22370.9,1.376146793,2.862385273,"Credit Suisse, Barclays, Morgan Stanley, Wells Fargo, Goldman Sachs",22370.9,134.8663656913889
CRSP US,2018-01-03,2018-01-04,2018-01-03,2018-01-04,2018-01-04,CRSP US,CRISPR Therapeutics AG,130.812,5.0,22.75,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1037.72,3.648351669,17.84615326,"Goldman Sachs, Piper Jaffray & Co, Barclays",1037.72,8.137954779933331
ATRA US,2018-01-02,2018-01-04,2018-01-02,2018-01-03,2018-01-04,ATRA US,Atara Biotherapeutics Inc,127.75,7.0,18.25,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",686.125,4.1095891,-1.369863033,"JP Morgan, Cowen & Co",686.125,5.753956062
SRE US,2018-01-02,2018-01-05,2018-01-02,2018-01-04,2018-01-05,SRE US,Sempra Energy,2875.0,23.3645,107.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Fwd Sales Agreement",29727.7,1.7196261879999999,1.355140209,"RBC Capital Markets, Morgan Stanley, Barclays",29727.7,176.27302192506667
HHC US,2018-01-02,2018-01-03,2018-01-02,2018-01-02,2018-01-03,HHC US,Howard Hughes Corp/The,322.5,2.5,129.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",5536.34,-0.4651162922,-1.27131784,"Bank of America Merrill Lynch, JP Morgan, Jefferies",5536.34,20.36119937062222
MDGL US,2017-12-18,2017-12-19,2017-12-18,2017-12-18,2017-12-19,MDGL US,Madrigal Pharmaceuticals Inc,143.748,1.506,83.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",1180.89,4.277108669,14.03614426,"Goldman Sachs, Evercore Partners Inc",1180.89,11.915437607111105
UNVR US,2017-12-14,2017-12-15,2017-12-14,2017-12-15,2017-12-15,UNVR US,Univar Inc,287.9,10.0,28.79,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",4058.54,7.606804371,7.676272869,Goldman Sachs,4058.54,23.847607328133332
AMTD US,2017-12-12,2017-12-13,2017-12-12,2017-12-12,2017-12-13,AMTD US,TD Ameritrade Holding Corp,1425.8,27.6855,51.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",29197.4,0.1165048555,-0.07766990364,Goldman Sachs,29197.4,81.5167024634889
OAS US,2017-12-11,2017-12-12,2017-12-11,2017-12-11,2017-12-12,OAS US,Oasis Petroleum Inc,305.6,32.0,9.55,"ADDL,Primary Share Offering,Accelerated Bookbuild",2571.94,-4.188483715,-12.77487087,"Goldman Sachs, Credit Suisse",2571.94,88.02929676222223
CNR US,2017-12-11,2017-12-12,2017-12-11,2017-12-11,2017-12-12,CNR US,Cornerstone Building Brands In,139.783,7.15,19.55,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1285.39,-1.023014069,-3.324804306,"RBC Capital Markets, Goldman Sachs",1285.39,8.535300149111112
GMS US,2017-12-11,2017-12-12,2017-12-11,2017-12-11,2017-12-12,GMS US,GMS Inc,191.25,5.0,38.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1569.43,-0.3921568692,-1.83006537,Morgan Stanley,1569.43,12.670539549700004
ARGX US,2017-12-11,2017-12-14,2017-12-11,2017-12-13,2017-12-14,ARGX US,Argenx SE,265.512,4.44,52.0,"ADDL,Primary Share Offering,VC Backed,Accelerated Bookbuild,Emerging Growth Company",1613.93,12.17307663,14.36538506,"Cowen & Co, Piper Jaffray & Co",1613.93,2.1731713215800004
BPMC US,2017-12-11,2017-12-13,2017-12-11,2017-12-12,2017-12-13,BPMC US,Blueprint Medicines Corp,300.0,3.7037,81.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",3473.5,-0.3827160597,1.432098746,"Goldman Sachs, Morgan Stanley, Cowen & Co",3473.5,27.75356731695555
BLUE US,2017-12-11,2017-12-13,2017-12-11,2017-12-12,2017-12-13,BLUE US,Bluebird Bio Inc,651.255,3.2432,185.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",9121.5,0.05405405536,-0.05405405536,"Goldman Sachs, Bank of America Merrill Lynch, JP Morgan, Cowen & Co",9121.5,116.81486185755556
TELL US,2017-12-07,2017-12-08,2017-12-07,2017-12-07,2017-12-08,TELL US,Tellurian Inc,115.0,10.0,10.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2255.41,2.5,-1.5,Credit Suisse,2255.41,5.891036753933333
PRTY US,2017-12-07,2017-12-08,2017-12-07,2017-12-08,2017-12-08,PRTY US,Party City Holdco Inc,129.0,10.0,12.9,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1507.0,-3.875966072,-5.038756847,Goldman Sachs,1507.0,11.423810230444449
EDIT US,2017-12-05,2017-12-06,2017-12-05,2017-12-05,2017-12-06,EDIT US,Editas Medicine Inc,51.22,1.97,26.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1146.07,-1.269230723,-3.173076868,Morgan Stanley,1146.07,23.998418565100003
RVNC US,2017-12-05,2017-12-07,2017-12-05,2017-12-06,2017-12-07,RVNC US,Revance Therapeutics Inc,190.324,5.3387,31.0,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild,Emerging Growth Company",1126.06,0.9677419066,5.645161152,"Goldman Sachs, Cowen & Co",1126.06,6.249612951666667
GWPH US,2017-12-05,2017-12-07,2017-12-05,2017-12-06,2017-12-07,GWPH US,GW Pharmaceuticals PLC,317.4,2.4,115.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",3034.88,4.339130402,8.669565201,"Morgan Stanley, Goldman Sachs, Bank of America Merrill Lynch, Cowen & Co",3034.88,41.31280253262223
OEC US,2017-12-04,2017-12-05,2017-12-04,2017-12-05,2017-12-05,OEC US,Orion Engineered Carbons SA,292.395,12.6578,23.1,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1370.3,0.2164485604,-2.813854456,"Goldman Sachs, Morgan Stanley",1370.3,11.301635894333337
HOME US,2017-12-04,2017-12-07,2017-12-04,2017-12-06,2017-12-07,HOME US,At Home Group Inc,140.875,5.0,24.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1480.8,11.38775539,19.83673477,"Bank of America Merrill Lynch, Goldman Sachs, Jefferies, Barclays, Guggenheim Capital, Morgan Stanley",1480.8,6.080153995666667
