,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
1431816D US,29/Jul/2010,28/Oct/2010,30/Sep/2010,29/Jul/2010,3098.1365,5.398318981,Technology,Technology Hardware & Equipment,-0.05945945945945952,-0.04504504504504503,0.959455252918288,0.8209303268716034,0.024599102247633897
1431816D US,28/Oct/2010,27/Jan/2011,31/Dec/2010,28/Oct/2010,3042.3339,5.242317353,Technology,Technology Hardware & Equipment,-0.055452865064695045,-0.060998151571164505,0.8671784273201457,1.1464012529223504,0.01472920201086394
1436513D US,22/Jan/2010,23/Apr/2010,31/Mar/2010,22/Jan/2010,19783.4479,68.77809051,Automobiles & Parts,Automobiles & Parts,0.023255813953488413,0.15697674418604657,2.2195841035120147,1.0605473873558768,0.013221386222441275
1436513D US,23/Apr/2010,23/Jul/2010,30/Jun/2010,23/Apr/2010,23174.8844,118.92949479999999,Automobiles & Parts,Automobiles & Parts,-0.001434720229555042,0.09995217599234829,1.8197083045200226,1.0338629383578444,0.015814252773763283
1436513D US,23/Jul/2010,26/Oct/2010,30/Sep/2010,23/Jul/2010,19582.3844,137.65349980000002,Automobiles & Parts,Automobiles & Parts,0.002539145154464739,0.01396529834955551,1.1377796323341909,1.034103226542571,0.02413825212460826
1436513D US,26/Oct/2010,20/Jan/2011,31/Dec/2010,26/Oct/2010,23222.525,111.32304669999999,Automobiles & Parts,Automobiles & Parts,0.000810044552450373,0.029566626164438947,1.2062626339677334,1.1938375438707434,0.014954646427718717
1437361D US,09/Mar/2010,26/May/2010,31/Mar/2010,09/Mar/2010,1877.2372,37.96093421,Personal & Household Goods,Leisure Goods,1.1428571428571428,1.119047619047619,1.3996865203761755,1.87010078387458,0.11494410828312938
1437361D US,26/May/2010,26/Aug/2010,30/Jun/2010,26/May/2010,1036.1989999999998,70.92990453,Personal & Household Goods,Leisure Goods,0.07888631090487253,0.04640371229698381,2.8229007633587786,0.48025959978366695,0.08199091880416244
1437361D US,26/Aug/2010,24/Nov/2010,30/Sep/2010,26/Aug/2010,977.5517,12.92629959,Personal & Household Goods,Leisure Goods,0.15686274509803932,0.17156862745098045,0.9179999999999999,0.8681917211328976,0.026608551165189072
1437361D US,24/Nov/2010,02/Mar/2011,31/Dec/2010,24/Nov/2010,1029.356,20.31600663,Personal & Household Goods,Leisure Goods,0.4783715012722647,0.5725190839694658,1.0107632093933463,0.8218780251694096,0.03338168844546362
