Ticker,Date,Revision,Market cap,Volume
1720 JP,2017-11-08,0.055960071,948.9885,4.441897915
1721 JP,2017-11-08,0.014713282,3733.9921,16.05059254
1728 HK,2017-08-22,0.141621295,2197.3321,13.03707436
175 HK,2017-08-16,0.069860863,21912.8162,133.9819595
1766 HK,2017-10-27,0.008966196,43318.8374,23.91134057
1766 JP,2017-12-14,-0.004184074,1720.7673,5.020950761
177 HK,2017-10-27,0,7699.3954,3.524334305
1776 HK,2017-10-30,0.003469468,19868.4867,10.59266719
178920 KS,2017-10-23,0,905.7272,16.2285692
179 HK,2017-11-09,-0.011031875,3832.63,3.344143024
1800 HK,2017-10-30,-0.036040092,32671.8534,26.2375287
1801 JP,2017-11-10,0.005926182,12649.6439,50.60813859
1802 JP,2017-11-08,0.00436919,9626.0471,31.18831872
1803 JP,2017-11-08,0.002499759,8829.0351,20.99373754
180640 KS,2017-11-14,0.190277756,1021.5069,10.62736011
1808 JP,2017-11-10,0.071116278,4470.8383,23.53320028
1812 JP,2017-11-14,0.03357642,11159.5317,52.38938795
1813 HK,2017-08-28,0.08940568,2379.5141,7.369076472
181710 KS,2017-11-10,-0.017694814,1197.7375,5.860135007
1818 HK,2017-10-20,-0.006554718,2769.8078,6.432517562
1820 JP,2017-11-07,0.00019508,1730.9783,8.956240178
1821 JP,2017-11-09,0,1033.6862,9.434413162
1824 JP,2017-11-10,0.045115134,2738.2416,13.00684661
1860 JP,2017-11-10,0.00977162,2635.2674,6.982350014
1861 JP,2017-11-10,0,1204.0071,7.698696064
1878 JP,2017-10-26,0.006007515,13648.5067,69.55773011
1880 HK,2017-05-15,-0.014888337,6605.7423,26.42141304
1881 JP,2017-11-13,0,2617.3724,3.707007756
1888 HK,2017-08-18,0.158710305,4615.6123,7.904212914
1893 HK,2017-10-20,0.024862219,2517.5976,9.707251059
1893 JP,2017-11-13,0.027140762,1894.9997,9.554271072
1898 HK,2017-10-27,0.015547717,10101.7119,7.416609031
19 HK,2017-08-17,-0.054351206,14400.6874,11.36635338
1910 HK,2017-11-14,0.011157928,5822.1656,9.585859767
1911 JP,2017-11-10,-0.010713953,3015.3472,8.60143511
1918 HK,2017-08-31,0.233525264,12408.5669,111.9969352
1919 HK,2017-10-31,-0.706392248,9713.3847,17.34162543
192080 KS,2017-11-07,-0.242635927,837.6159,6.177478257
1924 JP,2017-08-01,0,1828.993,15.57642211
1925 JP,2017-11-09,0.017511749,25342.948,48.31333399
1928 HK,2017-10-26,0.023464912,38291.1655,63.03253291
1928 JP,2017-12-11,-0.003857547,12813.4195,49.92495157
192820 KS,2017-11-14,-0.169946268,1165.4099,18.45033576
1929 HK,2017-11-21,0.028347646,11264.4326,5.015151686
