,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
SRAIL SW,2019-03-19,2019-04-12,2019-03-19,2019-04-12,SRAIL SW,Stadler Rail AG,1530.72,35.0,38.0,"IPO,Secondary Share Offering,REG S,Rule 144A",0.0,10.52631569,13.42105293,"BNP Paribas, Citi, Credit Suisse, UBS, Zuercher Kantonalbank",Common,4301.3972055888225
CWD LN,2013-02-20,2013-03-20,2013-02-20,2013-03-20,CWD LN,Countrywide PLC,342.459,0.0,350.0,"IPO,Primary Share Offering,PE Backed",1160.15,10.0,13.428571699999999,"Credit Suisse, Goldman Sachs, Jefferies, BMO Capital Markets",Common,1160.15
BFSA GR,2017-10-06,2017-11-03,2017-10-06,2017-11-03,BFSA GR,Befesa SA,529.654,16.4542,28.0,"IPO,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1111.83,0.0,13.47500038,"Citi, JP Morgan, Goldman Sachs, Banco Santander, Commerzbank, Joh Berenberg Gossler & Co KG, Stifel",Common,1111.83
CMBN SW,2013-10-03,2013-10-30,2013-10-03,2013-10-30,CMBN SW,Cembra Money Bank AG,1162.44,18.0,51.0,"IPO,Secondary Share Offering",1708.16,6.862745285,13.52941132,"Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank",Common,1708.16
DOV IM,2017-06-14,2017-07-14,2017-06-14,2017-07-14,DOV IM,doValue SpA,387.261,28.5,9.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",822.312,11.11111069,13.88888931,"Citi, JP Morgan, UniCredit",Common,822.312
HOFI SS,2015-02-26,2015-03-25,2015-02-26,2015-03-25,HOFI SS,Hoist Finance AB,340.575,40.7252,58.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",536.837,12.06896591,13.96551704,"Carnegie, Citi, Morgan Stanley",Common,536.837
GLV LN,2017-10-02,2017-10-10,2017-10-02,2017-10-10,GLV LN,Glenveagh Properties PLC,645.865,500.0,1.0,"IPO,Primary Share Offering,Dual Listing,REG S,Rule 144A",783.316,15.0,14.0,"Credit Suisse, Davy",Common,783.316
TC1 GR,2014-09-30,2015-01-23,2014-09-30,2015-01-23,TC1 GR,Tele Columbus AG,644.363,52.7725,10.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",579.039,7.0,14.0,"Bank of America Merrill Lynch, Goldman Sachs, Joh Berenberg Gossler & Co KG, JP Morgan",Common,579.039
ISS DC,2014-02-18,2014-03-13,2014-02-18,2014-03-13,ISS DC,ISS A/S,1737.3,51.3999,160.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",5515.4,9.375,14.1875,"Goldman Sachs, Barclays, Morgan Stanley, Nordea Bank Abp, UBS",Common,5515.4
GLV ID,2017-10-02,2017-10-10,2017-10-02,2017-10-10,GLV ID,Glenveagh Properties PLC,645.865,500.0,1.0,"IPO,Primary Share Offering,Dual Listing,REG S,Rule 144A",783.316,16.0,14.19999981,"Credit Suisse, Davy",Common,783.316
GIB GR,2011-03-31,2011-04-15,2011-03-31,2011-04-15,GIB GR,GSW Immobilien AG,663.591,0.0,19.0,"IPO,Primary Share Offering,Secondary Share Offering",0.0,0.5263158083,14.21052647,"Goldman Sachs, Deutsche Bank",Common,1286.464121590461
ROSE SW,2017-06-08,2017-07-06,2017-06-08,2017-07-06,ROSE SW,Zur Rose Group AG,260.395,1.8061,140.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",904.661,7.857142925,14.21428585,"Joh Berenberg Gossler & Co KG, UBS",Common,904.661
ADEB NO,2019-04-01,2019-04-10,2019-04-01,2019-04-10,ADEB NO,Adevinta ASA,384.906,36.8931,78.0,"IPO,Secondary Share Offering,Rule 144A",6220.01,5.128205299,14.21794891,"Arctic Securities, JP Morgan, SEB",Class B,6220.01
VACN SW,2016-03-08,2016-04-14,2016-03-08,2016-04-14,VACN SW,VAT Group AG,624.121,12.0,45.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1396.07,15.55555534,14.55555534,"Credit Suisse, JP Morgan, UBS",Common,1396.07
CRL IM,2018-05-07,2018-06-11,2018-05-07,2018-06-11,CRL IM,Carel Industries SpA,300.712,35.0,7.2,"IPO,Secondary Share Offering,REG S,Rule 144A",0.0,10.4305582,14.58333683,"Goldman Sachs, Mediobanca",Common,972.5100000000001
ZIGGO NA,2012-02-29,2012-03-21,2012-02-29,2012-03-21,ZIGGO NA,Ziggo Holding BV,1235.52,43.5,18.5,"IPO,Secondary Share Offering,PE Backed,PE Exit",0.0,14.59459496,14.8648653,"Deutsche Bank, JP Morgan, Morgan Stanley, UBS",Common,5609.1500000000015
VAR1 GR,2016-11-03,2017-10-19,2016-11-03,2017-10-19,VAR1 GR,Varta AG,259.433,11.6,17.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",787.961,38.57143021,14.88000011,"Joh Berenberg Gossler & Co KG, UniCredit",Common,787.961
SFR FP,2013-09-19,2013-11-08,2013-09-19,2013-11-08,SFR FP,Altice France SA/France,1012.46,32.1267,24.8,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",4108.74,2.822583914,14.91935825,"Deutsche Bank, JP Morgan, Credit Agricole CIB, HSBC, Morgan Stanley",Common,4108.74
JUP LN,2010-05-18,2010-06-16,2010-05-18,2010-06-16,JUP LN,Jupiter Fund Management PLC,398.078,0.0,165.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1118.84,6.363636494,15.15151501,"Bank of America Merrill Lynch, JP Morgan",Common,1118.84
DOM SS,2015-11-02,2015-11-25,2015-11-02,2015-11-25,DOM SS,Dometic Group AB,633.374,108.9,48.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Rule 144A",1687.51,6.25,15.41666698,"Carnegie, Jefferies, Morgan Stanley, SEB, UBS",Common,1687.51
COLL SS,2015-05-15,2015-06-10,2015-05-15,2015-06-10,COLL SS,Collector AB,121.736,18.1818,55.0,"IPO,Primary Share Offering,Secondary Share Offering",601.376,9.090909004,15.63636398,SEB,Common,601.376
CRST LN,2013-01-21,2013-02-13,2013-01-21,2013-02-13,CRST LN,Crest Nicholson Holdings plc,391.774,0.0,220.0,"IPO,Primary Share Offering,Secondary Share Offering",860.686,15.0,15.909091,"Barclays, HSBC",Common,860.686
FOXT LN,2013-08-27,2013-09-20,2013-08-27,2013-09-20,FOXT LN,Foxtons Group PLC,666.123,0.0,230.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1039.31,19.347826,16.08695602,"Credit Suisse, Numis",Common,1039.31
MCS LN,2015-10-14,2015-11-06,2015-10-14,2015-11-06,MCS LN,McCarthy & Stone PLC,597.903,0.0,180.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1454.43,16.11111069,16.25,"Deutsche Bank, Goldman Sachs, Jefferies",Common,1454.43
ED4 GR,2015-11-04,2015-12-02,2015-11-04,2015-12-02,ED4 GR,EDAG Engineering Group AG,207.554,8.75,19.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",504.26,2.894736767,16.31579018,"Deutsche Bank, Morgan Stanley",Common,504.26
SCT LN,2015-10-19,2015-11-13,2015-10-19,2015-11-13,SCT LN,Softcat PLC,272.973,0.0,240.0,"IPO,Secondary Share Offering,REG S,Rule 144A",718.119,10.41666698,16.66666603,"Credit Suisse, Jefferies",Common,718.119
PA/ LN,2013-05-13,2013-06-07,2013-05-13,2013-06-07,PA/ LN,Partnership Assurance Group Lt,853.002,0.0,385.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2392.39,17.01298714,16.88311768,"Morgan Stanley, Bank of America Merrill Lynch",Common,2392.39
MCOVB SS,2017-05-02,2017-05-23,2017-05-02,2017-05-23,MCOVB SS,Medicover AB,264.478,41.4429,56.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S",857.893,10.26785755,16.9642849,"Carnegie, Jefferies, Nordea Bank Abp, SEB",Class B,857.893
TRN LN,2019-05-29,2019-06-21,2019-05-29,2019-06-21,TRN LN,Trainline PLC,1379.77,189.4,350.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",2137.37,14.28571415,17.4285717,"Barclays, JP Morgan, Kohlberg Kravis Roberts & Co, Morgan Stanley, Numis",Common,2137.37
ARION IR,2018-05-17,2018-06-15,2018-05-17,2018-06-15,ARION IR,Arion Banki HF,374.334,724.0,75.0,"IPO,Secondary Share Offering,Best Efforts,Dual Listing,REG S,Rule 144A",1391.34,14.66666698,18.39999962,"Arion Banki HF, Carnegie, Citi, Deutsche Bank, Goldman Sachs, Morgan Stanley",Common,1391.34
BET LN,2010-09-21,2010-10-22,2010-09-21,2010-10-22,BET LN,Betfair Group Ltd,399.15,0.0,1300.0,"IPO,Secondary Share Offering,VC Backed,VC Exit",0.0,15.38461494,19.23077011,"Goldman Sachs, Morgan Stanley",Common,2599.7867575435644
NETW LN,2019-03-21,2019-04-10,2019-03-21,2019-04-10,NETW LN,Network International Holdings,1590.54,299.95,435.0,"IPO,Secondary Share Offering,REG S,Rule 144A",2852.08,18.39080429,20.0,"Barclays, Citi, Emirates NBD PJSC, Goldman Sachs, JP Morgan, Morgan Stanley",Common,2852.08
MTRS SS,2017-04-27,2017-05-19,2017-04-27,2017-05-19,MTRS SS,Munters Group AB,511.378,73.4391,55.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1137.38,18.18181801,20.09090996,"Carnegie, Danske Bank, Goldman Sachs, Jefferies, Nordea Bank Abp",Common,1137.38
AENA SM,2015-01-23,2015-02-11,2015-01-23,2015-02-11,AENA SM,Aena SME SA,4798.0,38.1818,58.0,"IPO,Secondary Share Offering,Government Exit,REG S,Rule 144A",9841.44,12.24137974,20.6896553,"Banco Bilbao Vizcaya Argentaria, Banco Santander, Bank of America Merrill Lynch, Goldman Sachs, HSBC, JP Morgan, Morgan Stanley",Common,9841.44
OW DC,2014-03-18,2014-03-28,2014-03-18,2014-03-28,OW DC,OW Bunker A/S,582.529,0.0,145.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",982.225,17.93103409,20.6896553,"Morgan Stanley, Nordea Bank Abp, Carnegie, Sveriges Riksbank",Common,982.225
AHSL SS,2016-10-06,2016-10-28,2016-10-06,2016-10-28,AHSL SS,Ahlsell AB,803.245,131.929,46.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",2137.14,4.347826004,21.73913002,"Carnegie, Danske Bank, Deutsche Bank, Goldman Sachs, JP Morgan, Nordea Bank Abp, UBS",Common,2137.14
GIMA IM,2017-06-29,2017-10-02,2017-06-29,2017-10-02,GIMA IM,Gima TT SpA,440.055,30.8,12.5,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",1296.24,14.0,22.39999962,"Bank of America Merrill Lynch, Equita SIM SpA, Mediobanca, UniCredit",Common,1296.24
AAG GR,2017-02-27,2017-03-24,2017-02-27,2017-03-24,AAG GR,Aumann AG,266.33,5.2,42.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",633.923,5.238095284,22.61904716,"Citi, Hauck & Aufhaeuser Privatbankiers KGaA, Joh Berenberg Gossler & Co KG",Common,633.923
PLND LN,2014-02-18,2014-03-12,2014-02-18,2014-03-12,PLND LN,Poundland Group Ltd,720.015,0.0,300.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1245.83,18.33333397,23.33333397,"Credit Suisse, JP Morgan",Common,1245.83
PNDORA DC,2010-09-07,2010-10-05,2010-09-07,2010-10-05,PNDORA DC,Pandora A/S,1942.56,0.0,210.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,PE Exit",5000.74,7.380952358,25.23809433,"Goldman Sachs, JP Morgan, Morgan Stanley, Nordea Bank Abp",Common,5000.74
IDHC LN,2015-01-13,2015-05-06,2015-01-13,2015-05-06,IDHC LN,Integrated Diagnostics Holding,333.75,0.0,4.45,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",667.5,13.48315048,25.84270287,"Citi, Deutsche Bank, EFG-Hermes",Common,667.5
H24 GR,2018-05-18,2018-06-15,2018-05-18,2018-06-15,H24 GR,Home24 SE,203.274,7.6923,23.0,"IPO,Primary Share Offering,VC Backed",0.0,23.91304398,27.82608604,"Citi, Goldman Sachs, Joh Berenberg Gossler & Co KG",Common,852.9161854752
SENS SW,2018-02-27,2018-03-22,2018-02-27,2018-03-22,SENS SW,Sensirion Holding AG,338.607,8.1143,36.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",529.466,30.55555534,28.73611069,"Credit Suisse, JP Morgan",Common,529.466
MED SW,2018-02-27,2018-03-23,2018-02-27,2018-03-23,MED SW,Medartis Holding AG,153.088,2.8409,48.0,"IPO,Primary Share Offering,Best Efforts,VC Backed,REG S,Rule 144A",592.008,12.5,29.08333397,"Bryan Garnier & Company Ltd, Zuercher Kantonalbank",Common,592.008
IHP LN,2018-01-22,2018-02-27,2018-01-22,2018-02-27,IHP LN,IntegraFin Holdings PLC,247.946,0.0,196.0,"IPO,Secondary Share Offering,REG S",904.212,17.34693909,29.33673477,Peel Hunt LLP,Common,904.212
NETC DC,2018-05-08,2018-06-07,2018-05-08,2018-06-07,NETC DC,Netcompany Group A/S,568.608,20.0,155.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1228.66,16.12903214,29.67741966,"Danske Bank, Deutsche Bank, Morgan Stanley, SEB",Common,1228.66
ALFA LN,2017-05-08,2017-05-26,2017-05-08,2017-05-26,ALFA LN,Alfa Financial Software Holdin,359.487,0.0,325.0,"IPO,Secondary Share Offering,REG S,Rule 144A",1247.61,29.23077011,32.23077011,"Barclays, Numis",Common,1247.61
LIFCOB SS,2014-10-27,2014-11-21,2014-10-27,2014-11-21,LIFCOB SS,Lifco AB,577.459,34.6024,93.0,"IPO,Secondary Share Offering,Rule 144A",1138.52,18.27956963,32.25806427,SEB,Class B,1138.52
AO/ LN,2014-02-07,2014-02-26,2014-02-07,2014-02-26,AO/ LN,AO World PLC,797.627,148.465,285.0,"IPO,Primary Share Offering,Secondary Share Offering",1996.44,33.33333206,32.63158035,"Jefferies, JP Morgan, Numis",Common,1996.44
AJB LN,2018-11-19,2018-12-07,2018-11-19,2018-12-07,AJB LN,AJ Bell PLC,222.781,108.08,160.0,"IPO,Secondary Share Offering,REG S",828.057,1.25,37.5,Numis,Common,828.057
RMG LN,2013-07-10,2013-10-11,2013-07-10,2013-10-11,RMG LN,Royal Mail PLC,2957.72,521.739,330.0,"IPO,Secondary Share Offering,Government Exit",5267.46,36.36363602,37.87878799,"Bank of America Merrill Lynch, Barclays, Goldman Sachs, UBS",Common,5267.46
ATT SS,2015-11-11,2015-11-30,2015-11-11,2015-11-30,ATT SS,Attendo AB,547.951,72.0,50.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",913.294,31.0,40.0,"Carnegie, Nordea Bank Abp, SEB",Common,913.294
BOO LN,2014-02-28,2014-03-14,2014-02-28,2014-03-14,BOO LN,boohoo Group PLC,501.84,0.0,50.0,"IPO,Primary Share Offering,Best Efforts,Sub Sector Flag",936.832,70.0,40.0,,Common,936.832
BLUE FP,2013-10-17,2013-10-30,2013-10-17,2013-10-30,BLUE FP,Blue Solutions,62.8412,2.8838,14.5,"IPO,Secondary Share Offering",574.582,14.13793087,44.55172348,"Deutsche Bank, BNP Paribas, Credit Agricole CIB, HSBC",Common,574.582
MONC IM,2013-10-14,2013-12-16,2013-10-14,2013-12-16,MONC IM,Moncler SpA,1063.77,66.8,10.2,"IPO,Secondary Share Offering,PE Backed,PE Exit",3519.77,41.17647171,46.76470947,"Intesa Sanpaolo, Bank of America Merrill Lynch, Goldman Sachs, JP Morgan, Mediobanca, Nomura, UBS",Common,3519.77
BC IM,2012-02-03,2012-04-27,2012-02-03,2012-04-27,BC IM,Brunello Cucinelli SpA,228.5,20.4,7.75,"IPO,Primary Share Offering,Secondary Share Offering",692.267,31.61290359,49.67741776,"Bank of America Merrill Lynch, Mediobanca",Common,692.267
ADYEN NA,2018-05-24,2018-06-13,2018-05-24,2018-06-13,ADYEN NA,Adyen NV,1110.9,4.1891,240.0,"IPO,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,PE Backed,PE Exit,REG S,Rule 144A",8320.59,66.66666412,89.58333588,"ABN Amro Bank NV, Bank of America Merrill Lynch, Citi, JP Morgan, Morgan Stanley",Common,8320.59
PDSA NO,2011-03-31,2011-04-05,2011-03-31,2011-04-05,PDSA NO,Pacific Drilling SA,1500.0,0.0,10.0,"IPO,Primary Share Offering",2100.0,,,"DNB ASA, Pareto Securities, Clarksons Platou Securities",Common,2100.0
