,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
SMCP FP,2017-09-18,2017-10-20,2017-09-18,2017-10-20,SMCP FP,SMCP SA,646.201,0.0,22.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1905.13,0.0,-4.545454502,"Kohlberg Kravis Roberts & Co, Bank of America Merrill Lynch, BNP Paribas, HSBC, JP Morgan",Common,1905.13
GEST SM,2017-03-13,2017-04-07,2017-03-13,2017-04-07,GEST SM,Gestamp Automocion SA,934.683,155.389,5.6,"IPO,Secondary Share Offering,REG S,Rule 144A",3432.37,-0.3571411669,-4.464283943,"JP Morgan, Morgan Stanley, UBS, Societe Generale, Deutsche Bank, Banco Santander",Common,3432.37
EPR NO,2015-05-26,2015-06-19,2015-05-26,2015-06-19,EPR NO,Europris ASA,497.13,85.0,45.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",964.581,0.0,-4.444444656,"ABG Sundal Collier Asa, Bank of America Merrill Lynch, Goldman Sachs, SEB",Common,964.581
SAY SM,2015-01-15,2015-02-16,2015-01-15,2015-02-16,SAY SM,Saeta Yield SA,512.073,41.6,10.45,"IPO,Secondary Share Offering,REG S,Rule 144A",972.509,0.4784707427,-4.306218147,"Banco Santander, Bank of America Merrill Lynch, Citi, HSBC, Societe Generale",Common,972.509
EDR SM,2014-03-06,2014-04-08,2014-03-06,2014-04-08,EDR SM,eDreams ODIGEO SA,569.311,36.6868,10.25,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1475.01,-0.4878048897,-4.292683125,"Deutsche Bank, Jefferies, JP Morgan",Common,1475.01
G24 GR,2015-09-07,2015-10-01,2015-09-07,2015-10-01,G24 GR,Scout24 AG,1144.35,29.5,30.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",3609.55,2.5,-4.170000076,"Barclays, Credit Suisse, Goldman Sachs, Jefferies, Morgan Stanley",Common,3609.55
BRIT LN,2014-03-04,2014-03-28,2014-03-04,2014-03-28,BRIT LN,Brit Ltd,400.152,100.0,240.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1598.21,0.0,-4.166666508,"JP Morgan, UBS",Common,1598.21
ELK NO,2018-02-26,2018-03-22,2018-02-26,2018-03-22,ELK NO,Elkem ASA,900.434,250.967,29.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",2178.54,-3.620689631,-4.13793087,"ABG Sundal Collier Asa, Carnegie, Citi, Morgan Stanley, Nordea Bank Abp",Common,2178.54
ENOG LN,2018-02-19,2018-03-16,2018-02-19,2018-03-16,ENOG LN,Energean Oil & Gas PLC,462.873,69.8,455.0,"IPO,Primary Share Offering,REG S,Rule 144A",969.172,-0.2197802216,-3.956043959,"Citi, Morgan Stanley, RBC Capital Markets, Stifel",Common,969.172
STCK LN,2013-09-26,2013-10-22,2013-09-26,2013-10-22,STCK LN,Stock Spirits Group PLC,425.337,110.0,235.0,"IPO,Primary Share Offering,Secondary Share Offering",759.003,0.0,-3.829787254,"Jefferies, Joh Berenberg Gossler & Co KG, JP Morgan, Nomura",Common,759.003
GMS LN,2014-02-17,2014-03-14,2014-02-17,2014-03-14,GMS LN,Gulf Marine Services PLC,298.253,0.0,135.0,"IPO,Primary Share Offering,Secondary Share Offering",784.75,0.0,-3.703703642,"Bank of America Merrill Lynch, Barclays, JP Morgan",Common,784.75
ANIM IM,2014-02-07,2014-04-16,2014-02-07,2014-04-16,ANIM IM,Anima Holding SpA,1034.11,164.892,4.2,"IPO,Secondary Share Offering,PE Backed,REG S,Rule 144A",1749.88,-3.095233679,-3.571424246,"Goldman Sachs, Intesa Sanpaolo, UBS, UniCredit",Common,1749.88
NETS DC,2016-09-01,2016-09-23,2016-09-01,2016-09-23,NETS DC,Nets A/S,2369.99,105.0,150.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,PE Backed,PE Exit,REG S,Rule 144A",4520.05,3.333333254,-3.333333254,"Danske Bank, Deutsche Bank, DNB ASA, JP Morgan, Morgan Stanley, Nordea Bank Abp, UBS",Common,4520.05
BFIT NA,2016-05-17,2016-06-10,2016-05-17,2016-06-10,BFIT NA,Basic-Fit NV,453.281,26.6667,15.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",928.158,0.0,-3.333333254,"ABN Amro Bank NV, Barclays, Deutsche Bank, ING Groep, Morgan Stanley",Common,928.158
FAN LN,2014-06-11,2014-06-18,2014-06-11,2014-06-18,FAN LN,Volution Group PLC,168.02,0.0,150.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",508.47,3.333333254,-3.333333254,"Canaccord Genuity, Liberum Capital Ltd",Common,508.47
BG AV,2017-09-27,2017-10-25,2017-09-27,2017-10-25,BG AV,BAWAG Group AG,1974.34,35.0,48.0,"IPO,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",5646.72,0.0,-3.125,"Citi, Credit Suisse, Goldman Sachs, JP Morgan, Morgan Stanley, UBS, Barclays, Bank of America Merrill Lynch",Common,5646.72
WEW GR,2018-09-13,2018-10-09,2018-09-13,2018-10-09,WEW GR,Westwing Group AG,133.608,4.4,26.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",0.0,1.884615421,-3.115384579,"Citi, Joh Berenberg Gossler & Co KG",Common,576.688040852
