,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
FLOW NA,2017-02-15,2017-02-16,2017-02-15,2017-02-16,FLOW NA,Flow Traders,197.953,5.9,31.7,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1571.47,-0.7886459231,1.577284575,1571.47,2.2523078552899447,"['Morgan Stanley', 'UBS']",32.1056,33.355,-0.049617748463498645,0.012794952681388194,True,True,0.012794952681388194,0.016606957940571432,1,450.4615710579889,5.763634486470754,7.480796364403751
LIGHT NA,2017-02-08,2017-02-09,2017-02-08,2017-02-09,LIGHT NA,Signify NV,650.805,26.0,23.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3740.61,5.021369457,6.645300865,3740.61,4.863035125648391,"['Citi', 'Goldman Sachs', 'ING Groep', 'JP Morgan']",24.6032,23.9,-0.02092050209205021,0.05141880341880345,True,True,0.05141880341880345,0.03914285871151146,1,972.6070251296784,50.01028942889016,38.07061936647448
CABK SM,2017-02-06,2017-02-07,2017-02-06,2017-02-07,CABK SM,CaixaBank SA,1147.16,318.305,3.3572,"ADDL,Secondary Share Offering,Accelerated Bookbuild",21556.8,1.959969401,0.083405599,21556.8,56.88727809402219,"['Barclays', 'Citi', 'JP Morgan', 'Bank of America Merrill Lynch', 'Morgan Stanley']",3.3748,3.461,-0.02999133198497539,0.005242463958060162,True,True,0.005242463958060162,0.0060453518841696585,1,5000.0,26.21231979030081,30.226759420848293
COMH SS,2017-02-06,2017-02-07,2017-02-06,2017-02-07,COMH SS,Com Hem Holding AB,257.19,25.0,91.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1943.85,1.758241773,0.934065938,1943.85,2.025706784646105,"['Goldman Sachs', 'JP Morgan']",91.7977,93.05,-0.022031166039763517,0.008765934065934067,True,True,0.008765934065934067,0.009568821992043564,1,405.141356929221,3.551442422224611,3.8767255260707008
ORSTED DC,2017-02-02,2017-02-03,2017-02-02,2017-02-03,ORSTED DC,Orsted A/S,941.638,26.5,245.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",14932.8,3.632652998,4.163265228,14932.8,15.527263972740581,"['Goldman Sachs', 'Morgan Stanley', 'Nordea Bank Abp']",248.789,254.6,-0.03770620581304007,0.015465306122449007,True,True,0.015465306122449007,0.009471963343197665,1,3105.4527945481163,48.02677811650136,29.414735033990507
WPG LN,2017-02-01,2017-02-02,2017-02-01,2017-02-02,WPG LN,Worldpay Group Ltd,766.308,214.482,282.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",7101.55,-0.76038903,-0.05305039883,7101.55,15.247575083036887,"['Goldman Sachs', 'Bank of America Merrill Lynch', 'Morgan Stanley']",279.6286,287.7,-0.01720542231491129,-0.011039434129089254,True,True,-0.011039434129089254,-0.009410059980598406,1,3049.5150166073777,-33.66492015150567,-28.69611921801097
TLG GR,2017-01-30,2017-02-02,2017-01-30,2017-02-02,TLG GR,TLG Immobilien AG,124.021,6.7432,17.2,"ADDL,Primary Share Offering,Accelerated Bookbuild",1375.05,2.09301877,1.959297776,1375.05,1.2195468602194808,"['JP Morgan', 'UBS']",17.5266,17.673000000000002,-0.026763990267640092,0.018988372093023287,True,True,0.0057422457717950515,0.01201836394329936,3,243.90937204389618,1.400587560320249,2.9313916024051507
ABE SM,2017-01-23,2017-01-24,2017-01-23,2017-01-24,ABE SM,Abertis Infraestructuras SA,360.944,24.7595,13.59,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",14437.8,-1.122795311e-06,-0.7358362675,14437.8,28.717486320198223,"['Bank of America Merrill Lynch', 'JP Morgan', 'UBS']",13.5334,13.59,0.0,-0.0041648270787343344,True,True,-0.0041648270787343344,-0.006758745882048722,1,5000.0,-20.82413539367167,-33.793729410243614
PRY IM,2017-01-18,2017-01-19,2017-01-18,2017-01-19,PRY IM,Prysmian SpA,104.266,4.0,24.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5649.16,1.563400588e-06,-0.4508181214,5649.16,21.992171623526918,['Morgan Stanley'],24.4191,24.77,-0.014937424303593128,0.0007827868852459119,True,True,0.0007827868852459119,0.001896933819065083,1,2085.32,1.6323611475410051,3.9557140315727994
ENGI FP,2017-01-10,2017-01-11,2017-01-10,2017-01-11,ENGI FP,Engie SA,1203.95,100.0,11.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S,Rule 144A",29314.1,1.754389405,2.982459545,29314.1,72.76343256232114,"['Goldman Sachs', 'Societe Generale']",11.5331,11.93,-0.04442581726739303,0.011675438596491228,True,True,0.011675438596491228,0.01115218084819336,1,5000.0,58.37719298245614,55.7609042409668
