Ticker,Date,Orig date,Market cap,Volume,Quarter,Supersector,Sector
CBRY LN,2008-02-19,2008-02-19,23860.4606,51.18569856400045,2007:A,Food & Beverage,Food Producers
DNX LN,2009-03-30,2009-03-30,1389.9541,6.982737642384504,2008:A,Oil & Gas,Oil & Gas Producers
GRT LN,2009-12-15,2009-12-15,1077.9592,41.796332555806565,2008:A,Financial Services,Financial Services
IND IM,2014-05-07,2014-05-07,1589.3434,4.5555924164888895,2014:Q1,Personal & Household Goods,Household Goods & Home Construction
SSL LN,2008-11-25,2008-11-25,1277.9872,3.21712871043679,2009:S1,Chemicals,Chemicals
TAA NO,2009-04-24,2009-04-23,1762.5685,13.441263366073228,2009:Q1,Technology,Technology Hardware & Equipment
TOMK LN,2009-02-25,2009-02-25,1428.9838,9.381478167569783,2008:A,Industrial Goods & Services,General Industrials
VTG LN,2008-05-13,2008-05-13,2302.4036,4.5365748729288295,2008:A,Industrial Goods & Services,Aerospace & Defense
3403721Q VX,2008-02-08,2008-02-08,15003.7427,113.44451434027211,2007:A,,
3465593Q SM,2009-02-27,2009-02-27,3469.1134,14.4027662341,2008:A,Construction & Materials,Construction & Materials
9408593Q LN,2008-03-06,2008-03-06,2752.1067,11.623994738838894,2007:A,Industrial Goods & Services,Industrial Transportation
AL IM,2008-10-29,2008-10-29,5405.2117,15.607446247777776,2008:Q3,Insurance,Life Insurance
ARO GR,2008-05-15,2008-05-15,4270.6961,9.093817367433337,2008:Q2,Retail,General Retailers
BGY LN,2008-02-13,2008-02-13,10805.4115,59.100368531143,2008:C3,Utilities,Electricity
FP/ LN,2008-08-07,2008-08-07,3939.9364,17.467932302015033,2008:S1,Insurance,Life Insurance
IEC LN,2007-04-02,2007-04-02,1473.6271,20.402276250149054,2006:A,Oil & Gas,Oil & Gas Producers
TRIL LN,2009-02-24,2009-02-24,16708.1248,24.50784858198976,2008:Q4,Media,Media
UNF SM,2009-01-29,2009-01-29,20704.4256,173.25503698579993,2008:A,Utilities,Electricity
3564296Q LN,2007-03-19,2007-03-19,1323.094,7.654206707641568,2006:A,Oil & Gas,"Oil Equipment, Services & Distribution"
AL/ LN,2008-02-20,2008-02-20,4021.1537,43.16424113453239,2007:A,Banks,Banks
ALT SM,2007-05-10,2007-05-10,17409.7189,228.91473481959994,2007:Q1,Personal & Household Goods,Tobacco
ANGL ID,2008-12-03,2008-12-03,644.1812,4.483966443973333,2008:A,Banks,Banks
AZA IM,2007-09-12,2007-09-12,1533.8574,8.317731111831998,2007:S1,Travel & Leisure,Travel & Leisure
BFD LN,2007-03-08,2007-03-08,1468.8059,9.483817152594929,2006:A,Insurance,Nonlife Insurance
BOB FP,2007-04-25,2007-04-25,3669.5659,27.378894091033334,2007:Q1,Technology,Software & Computer Services
BOY LN,2016-02-25,2016-02-25,1541.17,3.685201112088419,2015:A,Industrial Goods & Services,Industrial Engineering
BUD AV,2007-11-13,2007-11-13,5457.5442,3.8101063703333344,2007:Q3,Basic Resources,Industrial Metals & Mining
CFM LN,2007-12-21,2007-12-21,943.1195,4.9627536707441395,2008:S1,Basic Resources,Industrial Metals & Mining
CIBN VX,2008-04-29,2008-04-29,2238.3466,22.142841232021436,2008:Q1,Chemicals,Chemicals
CSR LN,2014-04-30,2014-04-30,1640.6105,3.9965578864355784,2014:Q1,Technology,Technology Hardware & Equipment
CTT LN,2008-08-28,2008-08-28,1122.2968,9.364000400852973,2008:S1,Financial Services,Financial Services
CXP NA,2007-11-06,2007-11-06,2046.6392,16.617396525277776,2007:Q3,Retail,General Retailers
ENO LN,2007-02-05,2007-02-05,1687.719,12.192482869624163,2006:A,Industrial Goods & Services,Industrial Engineering
EXISTA IR,2008-01-31,2008-01-31,2384.989,7.641165599715913,2007:A,Financial Services,Financial Services
EXR LN,2007-05-31,2007-05-31,1993.2074,8.548244025080702,2007:A,Oil & Gas,"Oil Equipment, Services & Distribution"
FAST NO,2007-05-09,2007-05-09,869.7976,5.494231820828084,2007:Q1,Technology,Software & Computer Services
FL IR,2007-08-01,2007-08-01,3474.9065,4.78509052985184,2007:Q2,Financial Services,Financial Services
GRG LN,2016-03-01,2016-03-01,1688.3102,4.094205409100412,2015:A,Retail,Food & Drug Retailers
HGM NA,2007-02-21,2007-02-21,2569.1293,37.26874114040002,2006:A,Industrial Goods & Services,Support Services
IFL IM,2008-03-28,2008-03-28,8477.3929,14.012452814733331,2007:A,Financial Services,Financial Services
JEL SW,2008-04-15,2008-04-15,2043.5189,4.429595042441345,2007:A,Retail,General Retailers
KAUP IR,2008-01-30,2008-01-30,8810.021,42.20050594551079,2007:Q4,Financial Services,Financial Services
MTO LN,2016-05-23,2016-05-23,1497.459,4.29721431433739,2016:A,Industrial Goods & Services,Support Services
NEUF FP,2007-03-07,2007-03-07,7318.2407,9.652736097777776,2006:A,Telecommunications,Fixed Line Telecommunications
NOS PL,2017-03-03,2017-03-03,2918.6245,4.092841162288888,2016:A,Media,Media
NXI FP,2016-02-17,2016-02-16,2343.0999,4.208772666388887,2015:A,Real Estate,Real Estate Investment & Services
OCR NO,2007-07-31,2007-07-31,1208.8731,6.965028403394414,2007:Q2,Oil & Gas,"Oil Equipment, Services & Distribution"
