,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
VII CN,2016-02-09,2016-02-09,2016-02-09,2016-02-09,VII CN,Seven Generations Energy Ltd,216.951,21.4286,14.0,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,11.21428585,10.85714245,2645.7088,14.451248330252206,"RBC Capital Markets, Peters & Co Ltd"
ZZZ CN,2015-11-30,2015-11-30,2015-11-30,2015-11-30,ZZZ CN,Sleep Country Canada Holdings,138.546,10.0,18.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",520.088,-8.702702522,-6.270270348,520.088,2.5165639580862695,"BMO Capital Markets, TD Securities"
ACQ CN,2015-11-24,2015-11-24,2015-11-24,2015-11-24,ACQ CN,AutoCanada Inc,56.5346,2.95,25.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal,REG S,Rule 144A",0.0,-18.3921566,-12.43137264,504.7087,5.408547019936436,"Scotiabank, RBC Capital Markets"
BCE CN,2015-11-23,2015-11-23,2015-11-23,2015-11-23,BCE CN,BCE Inc,646.03,13.14,57.1,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal,REG S",0.0,-5.394042969,-4.41330719,36867.1982,111.55143062310952,"CIBC, National Bank Financial Inc, RBC Capital Markets, TD Securities, BMO Capital Markets"
AQN CN,2015-11-23,2015-11-23,2015-11-23,2015-11-23,AQN CN,Algonquin Power & Utilities Co,112.16,14.335,10.45,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal,REG S",0.0,-0.5741608739,0.8612458706,1914.9008,8.045724227300669,"CIBC, TD Securities"
PPL CN,2015-11-10,2015-11-10,2015-11-10,2015-11-10,PPL CN,Pembina Pipeline Corp,347.267,13.335,30.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",8056.69,5.333333492,3.900000095,8056.69,36.31013978927252,"RBC Capital Markets, Scotiabank"
ENF CN,2015-10-13,2015-10-13,2015-10-13,2015-10-13,ENF CN,Enbridge Income Fund Holdings,538.361,21.475,32.6,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-6.564412594,-5.858891487,1856.1541,7.446093878215737,"RBC Capital Markets, Scotiabank, TD Securities, BMO Capital Markets, CIBC"
SPB CN,2015-10-06,2015-10-06,2015-10-06,2015-10-06,SPB CN,Superior Plus Corp,110.229,12.0773,10.35,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal,REG S,Rule 144A",0.0,6.666662693,10.82125187,1001.4687,4.132495721143909,"JP Morgan, National Bank Financial Inc"
NA CN,2015-10-01,2015-10-01,2015-10-01,2015-10-01,NA CN,National Bank of Canada,226.142,7.16,41.9,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",0.0,0.09546174854,-2.219573975,10723.9651,71.70189258999964,National Bank Financial Inc
ADVZ CN,2015-09-21,2015-09-24,2015-09-21,2015-09-24,ADVZ CN,Advanz Pharma Corp,520.0,8.0,65.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-32.57091522,-30.65762138,2450.1186,45.77441298460444,"Credit Suisse, Jefferies, RBC Capital Markets, Goldman Sachs"
ALA CN,2015-09-21,2015-09-21,2015-09-21,2015-09-21,ALA CN,AltaGas Ltd,226.386,8.76,34.25,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",0.0,-3.065693378,-4.437956333,3636.5067,13.778662109732332,"BMO Capital Markets, TD Securities"
EIF CN,2015-08-27,2015-08-27,2015-08-27,2015-08-27,EIF CN,Exchange Income Corp,56.8436,3.019,24.85,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",517.467,-1.126762033,-1.207244992,517.467,2.1758282384295606,"Laurentian Bank of Canada, National Bank Financial Inc"
WSP CN,2015-08-25,2015-08-25,2015-08-25,2015-08-25,WSP CN,WSP Global Inc,151.145,4.142,42.25,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",3069.45,1.301775098,3.124260426,3069.45,11.361682815305805,"Raymond James & Associates, TD Securities, CIBC"
TCN CN,2015-07-28,2015-07-28,2015-07-28,2015-07-28,TCN CN,Tricon Capital Group Inc,115.992,13.158,11.4,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal",915.806,1.754389405,4.298249245,915.806,4.403513518005704,"GMP Securities, RBC Capital Markets"
AD CN,2015-06-25,2015-06-25,2015-06-25,2015-06-25,AD CN,Alaris Royalty Corp,93.1579,3.2797,30.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Bought Deal,REG S,Rule 144A",887.981,2.819672108,3.4426229,887.981,3.7605253040977122,"Acumen Capital Finance Partners Ltd, RBC Capital Markets"
