,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
ABLX US,2017-10-02,2017-10-25,2017-10-02,2017-10-24,2017-10-25,ABLX US,Ablynx NV,230.029,11.43,17.5,"IPO,Primary Share Offering,Dual Listing,Emerging Growth Company",0.0,2.0,28.62857056,"JP Morgan, Bank of America Merrill Lynch, Jefferies",ADR,1497.3560134400002
CSTM US,2013-05-13,2013-05-23,2013-05-13,2013-05-22,2013-05-23,CSTM US,Constellium SE,367.103,22.2222,15.0,"IPO,Primary Share Offering,Secondary Share Offering",1493.84,-10.0,-3.133333445,"Lazard Ltd, JP Morgan, Societe Generale, HSBC, Citi, UBS, BNP Paribas, Morgan Stanley, Credit Suisse, Barclays, Deutsche Bank, Goldman Sachs",Class A,1493.84
BYND US,2018-11-16,2019-05-02,2018-11-16,2019-05-01,2019-05-02,BYND US,Beyond Meat Inc,276.72,9.625,25.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1493.8,84.0,163.0,"JP Morgan, Goldman Sachs, Credit Suisse, Bank of America Merrill Lynch, Jefferies",Common,1493.8
SVMK US,2018-08-29,2018-09-26,2018-08-29,2018-09-25,2018-09-26,SVMK US,SVMK Inc,207.0,15.0,12.0,"IPO,Primary Share Offering,Emerging Growth Company",1493.7,56.25,43.66666794,"JP Morgan, Allen & Co, Bank of America Merrill Lynch, Wells Fargo, Credit Suisse, UBS",Common,1493.7
GDOT US,2010-02-26,2010-07-22,2010-02-26,2010-07-21,2010-07-22,GDOT US,Green Dot Corp,188.703,4.55805,36.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",1491.74,19.86111069,22.19444466,"JP Morgan, Morgan Stanley",Class A,1491.74
LX US,2017-11-13,2017-12-21,2017-11-13,2017-12-20,2017-12-21,LX US,LexinFintech Holdings Ltd,124.2,12.0,9.0,"IPO,Primary Share Offering,Emerging Growth Company",1490.93,31.11111069,18.88888931,"Goldman Sachs, Bank of America Merrill Lynch, China Renaissance Partners, Deutsche Bank",ADR,1490.93
SONO US,2018-07-06,2018-08-02,2018-07-06,2018-08-01,2018-08-02,SONO US,Sonos Inc,239.583,13.8889,15.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",1488.27,6.666666508,32.73333359,"Goldman Sachs, Morgan Stanley, Allen & Co, RBC Capital Markets, Jefferies, Kohlberg Kravis Roberts & Co",Common,1488.27
AXGT US,2015-05-11,2015-06-11,2015-05-11,2015-06-11,2015-06-11,AXGT US,Axovant Gene Therapies Ltd,362.25,21.0,15.0,"IPO,Primary Share Offering,Emerging Growth Company",1487.25,39.53333282,99.33333588,"Jefferies, Evercore Partners Inc, RBC Capital Markets",Common,1487.25
WOW US,2017-03-23,2017-05-25,2017-03-23,2017-05-24,2017-05-25,WOW US,WideOpenWest Inc,356.5,18.2353,17.0,"IPO,Primary Share Offering,PE Backed",1486.98,-5.882352829,-2.941176414,"Credit Suisse, UBS, RBC Capital Markets, SunTrust Robinson Humphrey, Evercore Partners Inc, Macquarie",Common,1486.98
FIO US,2011-03-09,2011-06-09,2011-03-09,2011-06-08,2011-06-09,FIO US,Fusion-io LLC,268.755,12.3,19.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",1478.37,31.57894707,18.42105293,"Goldman Sachs, Morgan Stanley, Credit Suisse, JP Morgan",Common,1478.37
ZUO US,2018-03-16,2018-04-12,2018-03-16,2018-04-11,2018-04-12,ZUO US,Zuora Inc,177.1,11.0,14.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1472.22,42.8571434,42.8571434,"Goldman Sachs, Morgan Stanley, Allen & Co, Jefferies",Class A,1472.22
ESNT US,2013-09-16,2013-10-31,2013-09-16,2013-10-30,2013-10-31,ESNT US,Essent Group Ltd,385.332,19.7101,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1470.41,29.41176414,23.52941132,"JP Morgan, Goldman Sachs, Barclays, Credit Suisse",Common,1470.41
GOGO US,2011-12-23,2013-06-21,2011-12-23,2013-06-20,2013-06-21,GOGO US,Gogo Inc,187.0,11.0,17.0,"IPO,Primary Share Offering,PE Backed",1443.62,-5.882352829,-5.882352829,"Morgan Stanley, JP Morgan, UBS",Common,1443.62
WHD US,2018-01-12,2018-02-08,2018-01-12,2018-02-08,2018-02-08,WHD US,Cactus Inc,502.55,23.0,19.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1422.91,11.05263138,6.578947544,"Citi, Credit Suisse, Piper Jaffray & Co, JP Morgan, Bank of America Merrill Lynch",Class A,1422.91
GHG US,2018-02-27,2018-03-27,2018-02-27,2018-03-26,2018-03-27,GHG US,GreenTree Hospitality Group Lt,142.8,10.2,14.0,"IPO,Primary Share Offering,Emerging Growth Company",1421.73,2.8571429249999998,-7.142857075,"Morgan Stanley, Bank of America Merrill Lynch, UBS",ADR,1421.73
BFAM US,2012-10-24,2013-01-25,2012-10-24,2013-01-24,2013-01-25,BFAM US,Bright Horizons Family Solutio,255.53,10.1,22.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1416.49,26.13636398,28.72727203,"JP Morgan, Goldman Sachs, Barclays, Bank of America Merrill Lynch, Credit Suisse",Common,1416.49
LEAF US,2010-08-06,2011-01-26,2010-08-06,2011-01-25,2011-01-26,LEAF US,Leaf Group Ltd,173.995,8.9,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,PE Exit",1416.1,38.23529434,33.23529434,"Morgan Stanley, Goldman Sachs",Common,1416.1
RSPP US,2013-11-12,2014-01-17,2013-11-12,2014-01-16,2014-01-17,RSPP US,RSP Permian Inc,448.5,20.0,19.5,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",1413.75,5.128205299,3.333333254,"UBS, RBC Capital Markets, Raymond James & Associates, Tudor Pickering Holt & Co LLC, JP Morgan, Barclays",Common,1413.75
FOCS US,2018-05-24,2018-07-26,2018-05-24,2018-07-25,2018-07-26,FOCS US,Focus Financial Partners Inc,615.404,16.2162,33.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1411.41,8.78787899,13.78787899,"Kohlberg Kravis Roberts & Co, SunTrust Robinson Humphrey, RBC Capital Markets, BMO Capital Markets, Goldman Sachs, Bank of America Merrill Lynch",Class A,1411.41
PGEM US,2010-05-28,2013-05-23,2010-05-28,2013-05-23,2013-05-23,PGEM US,Ply Gem Holdings Inc,381.316,15.7895,21.0,"IPO,Primary Share Offering,PE Backed",1409.53,6.428571224,10.95238113,"JP Morgan, Credit Suisse, Goldman Sachs, UBS, Deutsche Bank",Common,1409.53
WRD US,2016-11-10,2016-12-14,2016-11-10,2016-12-13,2016-12-14,WRD US,WildHorse Resource Development,446.957,27.5,15.0,"IPO,Primary Share Offering,Emerging Growth Company",1404.36,4.666666508,0.400000006,"Wells Fargo, Citi, BMO Capital Markets, Bank of America Merrill Lynch, Barclays",Common,1404.36
REVG US,2016-10-24,2017-01-27,2016-10-24,2017-01-26,2017-01-27,REVG US,REV Group Inc,316.25,12.5,22.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",1401.34,17.04545403,13.63636398,"Morgan Stanley, Goldman Sachs, Robert W Baird & Co, Credit Suisse, Deutsche Bank, Jefferies, Wells Fargo, BMO Capital Markets, Stifel",Common,1401.34
GNC US,2010-09-28,2011-04-01,2010-09-28,2011-03-31,2011-04-01,GNC US,GNC Holdings Inc,414.0,22.5,16.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1399.12,3.75,4.6875,"JP Morgan, Goldman Sachs, Deutsche Bank, Morgan Stanley",Class A,1399.12
CLLS US,2015-02-20,2015-03-25,2015-02-20,2015-03-24,2015-03-25,CLLS US,Cellectis SA,228.25,5.5,41.5,"IPO,Primary Share Offering,PE Backed,PE Exit,Emerging Growth Company",0.0,0.0,-5.301204681,"Bank of America Merrill Lynch, Jefferies, Piper Jaffray & Co",ADR,1372.3449840545654
RUN US,2015-06-25,2015-08-05,2015-06-25,2015-08-05,2015-08-05,RUN US,Sunrun Inc,250.6,17.9,14.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",1357.63,-6.714285851,-23.0714283,"Goldman Sachs, Morgan Stanley, Credit Suisse, Bank of America Merrill Lynch, RBC Capital Markets",Common,1357.63
SYSW US,2010-11-04,2010-11-24,2010-11-04,2010-11-23,2010-11-24,SYSW US,Syswin Inc,67.2,9.6,7.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",1352.92,0.0,-11.428571699999999,Morgan Stanley,ADR,1352.92
BETR US,2015-06-26,2015-08-05,2015-06-26,2015-08-04,2015-08-05,BETR US,Amplify Snack Brands Inc,270.0,15.0,18.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1350.0,-5.555555344,-10.33333302,"Goldman Sachs, Jefferies, Credit Suisse, SunTrust Robinson Humphrey",Common,1350.0
DAVA US,2018-06-29,2018-07-27,2018-06-29,2018-07-26,2018-07-27,DAVA US,Endava PLC,145.82,6.34,20.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",0.0,25.0,26.0,"Morgan Stanley, Citi, Credit Suisse, Deutsche Bank",ADR,1349.693413
UI US,2011-06-17,2011-10-14,2011-06-17,2011-10-13,2011-10-14,UI US,Ubiquiti Inc,105.573,7.0382,15.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1345.54,10.0,16.66666603,"UBS, Deutsche Bank, Raymond James & Associates",Common,1345.54
SALT US,2013-11-08,2013-12-12,2013-11-08,2013-12-11,2013-12-12,SALT US,Scorpio Bulkers Inc,350.951,31.3,9.75,"IPO,Primary Share Offering,Emerging Growth Company",1339.55,0.0,-2.56410265,"Deutsche Bank, Credit Suisse, Clarksons Platou Securities",Common,1339.55
BLMN US,2012-04-06,2012-08-08,2012-04-06,2012-08-07,2012-08-08,BLMN US,Bloomin' Brands Inc,202.331,16.0,11.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1332.13,5.454545498,12.81818199,"Morgan Stanley, Bank of America Merrill Lynch, JP Morgan, Deutsche Bank, Goldman Sachs",Common,1332.13
GSKY US,2018-04-27,2018-05-24,2018-04-27,2018-05-24,2018-05-24,GSKY US,GreenSky Inc,1005.1,38.0,23.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1323.33,-3.695652246,1.565217376,"JP Morgan, Goldman Sachs, Morgan Stanley, Bank of America Merrill Lynch, Citi, Credit Suisse, SunTrust Robinson Humphrey",Class A,1323.33
ONDK US,2014-11-10,2014-12-17,2014-11-10,2014-12-16,2014-12-17,ONDK US,On Deck Capital Inc,230.0,10.0,20.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1323.21,32.5,39.90000153,"Morgan Stanley, Bank of America Merrill Lynch, JP Morgan, Deutsche Bank, Jefferies, Needham & Co Inc, Raymond James & Associates, Stifel",Common,1323.21
AGRO US,2011-01-13,2011-01-28,2011-01-13,2011-01-28,2011-01-28,AGRO US,Adecoagro SA,361.424,28.571,11.0,"IPO,Primary Share Offering,Secondary Share Offering",1320.76,-2.272727251,9.090909004,"Banco Itau BBA, Credit Suisse, Morgan Stanley",Common,1320.76
ALEC US,2019-01-07,2019-02-07,2019-01-07,2019-02-06,2019-02-07,ALEC US,Alector Inc,185.051,9.25,19.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1308.24,-1.578947425,-5.263157845,"Morgan Stanley, Bank of America Merrill Lynch, Cowen & Co, Barclays",Common,1308.24
PGND US,2015-03-05,2015-05-21,2015-03-05,2015-05-20,2015-05-21,PGND US,Press Ganey Holdings Inc,255.875,8.9,25.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1305.33,10.68000031,10.0,"Goldman Sachs, Barclays, William Blair & Co LLC",Common,1305.33
MCRN US,2015-04-03,2015-06-25,2015-04-03,2015-06-24,2015-06-25,MCRN US,Milacron Holdings Corp,294.026,14.2857,20.0,"IPO,Primary Share Offering,PE Backed",0.0,-2.5,-2.099999905,"Bank of America Merrill Lynch, Barclays, JP Morgan, Credit Suisse, Goldman Sachs, Robert W Baird & Co",Common,1303.7614698791504
OAS US,2010-03-04,2010-06-17,2010-03-04,2010-06-16,2010-06-17,OAS US,Oasis Petroleum Inc,676.2,42.0,14.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1291.01,6.071428776,6.285714149,"Morgan Stanley, UBS",Common,1291.01
VHS US,2011-04-15,2011-06-22,2011-04-15,2011-06-21,2011-06-22,VHS US,Vanguard Health Systems Inc,517.5,25.0,18.0,"IPO,Primary Share Offering,PE Backed",1286.62,0.05555555597,0.277777791,"JP Morgan, Deutsche Bank, Citi, Bank of America Merrill Lynch, Barclays",Common,1286.62
WAIR US,2011-04-08,2011-07-28,2011-04-08,2011-07-27,2011-07-28,WAIR US,Wesco Aircraft Holdings Inc,315.0,21.0,15.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1283.55,-1.666666627,-0.5333333611,"Morgan Stanley, Barclays, Bank of America Merrill Lynch, JP Morgan, William Blair & Co LLC",Common,1283.55
EVOP US,2018-04-25,2018-05-23,2018-04-25,2018-05-22,2018-05-23,EVOP US,Evo Payments Inc,257.6,14.0,16.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",1280.35,25.3125,18.875,"JP Morgan, Bank of America Merrill Lynch, Citi, Deutsche Bank, SunTrust Robinson Humphrey, Barclays, Goldman Sachs, William Blair & Co LLC, Cowen & Co, PKO Bank Polski SA, Regions Financial Corp",Class A,1280.35
XUE US,2010-10-15,2010-11-02,2010-10-15,2010-11-01,2010-11-02,XUE US,Xueda Education Group,146.723,13.43,9.5,"IPO,Primary Share Offering,PE Backed",1275.85,50.5263176,31.57894707,Goldman Sachs,ADR,1275.85
CBLK US,2018-04-09,2018-05-04,2018-04-09,2018-05-03,2018-05-04,CBLK US,Carbon Black Inc,174.8,8.0,19.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1273.48,30.0,26.0,"Morgan Stanley, JP Morgan",Common,1273.48
PSDO US,2016-11-22,2017-03-10,2016-11-22,2017-03-09,2017-03-10,PSDO US,Presidio Inc,262.721,16.666,14.0,"IPO,Primary Share Offering,PE Backed",1269.95,-3.571428537,1.785714269,"Citi, JP Morgan, Barclays, RBC Capital Markets, Credit Suisse, Goldman Sachs, Evercore Partners Inc, Wells Fargo",Common,1269.95
COTY US,2012-06-29,2013-06-13,2012-06-29,2013-06-12,2013-06-13,COTY US,Coty Inc,1140.0,57.1429,17.5,"IPO,Secondary Share Offering,PE Backed,PE Exit",1263.83,0.0,-0.8000000119,"Wells Fargo, Deutsche Bank, Barclays, Morgan Stanley, Bank of America Merrill Lynch, JP Morgan",Class A,1263.83
GOLF US,2016-06-20,2016-10-28,2016-06-20,2016-10-27,2016-10-28,GOLF US,Acushnet Holdings Corp,377.966,19.3333,17.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1259.59,0.0,5.588235378,"Wells Fargo, Jefferies, Deutsche Bank, Daiwa Securities, Credit Suisse, UBS, Nomura, JP Morgan, Morgan Stanley",Common,1259.59
TPRE US,2013-07-15,2013-08-15,2013-07-15,2013-08-14,2013-08-15,TPRE US,Third Point Reinsurance Ltd,317.016,22.0533,12.5,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1257.26,-2.0,4.480000019,"JP Morgan, Credit Suisse, Morgan Stanley, Bank of America Merrill Lynch, Citi",Common,1257.26
CARG US,2017-09-15,2017-10-12,2017-09-15,2017-10-11,2017-10-12,CARG US,Cargurus Inc,172.96,9.4,16.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",1256.88,81.25,72.375,"Goldman Sachs, Allen & Co, RBC Capital Markets",Class A,1256.88
BURL US,2013-06-27,2013-10-02,2013-06-27,2013-10-01,2013-10-02,BURL US,Burlington Stores Inc,260.666,13.3333,17.0,"IPO,Primary Share Offering,PE Backed",1251.75,35.58823395,47.11764526,"Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Goldman Sachs, Wells Fargo",Common,1251.75
NTB US,2016-08-04,2016-09-16,2016-08-04,2016-09-15,2016-09-16,NTB US,Bank of NT Butterfield & Son L,250.0,10.6383,23.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company,Government Exit",1251.39,6.80851078,5.319149017,"Goldman Sachs, Sandler O'Neill & Partners, Citi",Common,1251.39
FTAI US,2014-01-03,2015-05-15,2014-01-03,2015-05-14,2015-05-15,FTAI US,Fortress Transportation & Infr,377.66,20.0,17.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1249.55,-5.882352829,-2.647058725,"Bank of America Merrill Lynch, Barclays, Citi, Deutsche Bank, UBS",Common,1249.55
1648416D US,2011-11-23,2012-03-22,2011-11-23,2012-03-21,2012-03-22,1648416D US,ExactTarget LLC,185.725,8.5,19.0,"IPO,Primary Share Offering,VC Backed",1249.28,21.31579018,32.15789413,"Deutsche Bank, JP Morgan, Stifel",Common,1249.28
NSM US,2011-05-16,2012-03-08,2011-05-16,2012-03-07,2012-03-08,NSM US,Nationstar Mortgage Holdings I,268.334,16.6667,14.0,"IPO,Primary Share Offering,PE Backed,PE Exit",1248.33,-3.071428537,1.428571463,"Bank of America Merrill Lynch, Citi, Credit Suisse, Wells Fargo",Common,1248.33
TW US,2019-03-07,2019-04-04,2019-03-07,2019-04-03,2019-04-04,TW US,Tradeweb Markets Inc,1242.0,40.0,27.0,"IPO,Primary Share Offering,Emerging Growth Company",1242.0,26.88888931,32.62963104,"JP Morgan, Deutsche Bank, UBS, Wells Fargo, Credit Suisse, Barclays, Bank of America Merrill Lynch, Morgan Stanley, Goldman Sachs, Citi",Class A,1242.0
ZXAIY US,2011-04-19,2011-05-12,2011-04-19,2011-05-11,2011-05-12,ZXAIY US,China Zenix Auto International,77.4,12.9,6.0,"IPO,Primary Share Offering,Secondary Share Offering",1238.64,0.0,-2.5,Morgan Stanley,ADR,1238.64
GDDY US,2014-06-09,2015-04-01,2014-06-09,2015-03-31,2015-04-01,GDDY US,GoDaddy Inc,520.0,23.0,20.0,"IPO,Primary Share Offering,VC Backed,PE Backed",1236.48,30.75,30.75,"Morgan Stanley, JP Morgan, Citi, Barclays, Deutsche Bank, RBC Capital Markets",Class A,1236.48
TWLO US,2016-05-26,2016-06-23,2016-05-26,2016-06-22,2016-06-23,TWLO US,Twilio Inc,172.5,10.0,15.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1233.0,59.93333435,91.93333435,"Goldman Sachs, JP Morgan",Class A,1233.0
DBX US,2018-02-23,2018-03-23,2018-02-23,2018-03-22,2018-03-23,DBX US,Dropbox Inc,869.4,36.0,21.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",1228.09,38.09523773,35.61904907,"Macquarie, Jefferies, RBC Capital Markets, Bank of America Merrill Lynch, Deutsche Bank, Allen & Co, JP Morgan, Goldman Sachs",Class A,1228.09
EEX US,2017-03-31,2017-04-28,2017-03-31,2017-04-27,2017-04-28,EEX US,Emerald Expositions Events Inc,303.025,15.5,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1227.44,10.0,14.70588207,"Barclays, Goldman Sachs, Bank of America Merrill Lynch, Citi, Credit Suisse, Deutsche Bank, RBC Capital Markets",Common,1227.44
TUMI US,2011-12-13,2012-04-19,2011-12-13,2012-04-18,2012-04-19,TUMI US,Tumi Holdings Inc,388.744,18.7799,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1221.6,44.44444275,47.22222137,"Goldman Sachs, Credit Suisse, JP Morgan",Common,1221.6
VLRS US,2013-06-06,2013-09-18,2013-06-06,2013-09-17,2013-09-18,VLRS US,Controladora Vuela Cia de Avia,312.527,22.6469,12.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Dual Listing,Emerging Growth Company",1214.26,6.333333492,16.75,"Morgan Stanley, UBS, Deutsche Bank",ADR,1214.26
RDFN US,2017-06-30,2017-07-28,2017-06-30,2017-07-27,2017-07-28,RDFN US,Redfin Corp,159.236,9.231,15.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1213.82,30.39999962,44.66666794,"Goldman Sachs, Allen & Co, Bank of America Merrill Lynch, RBC Capital Markets",Common,1213.82
LBRT US,2017-02-14,2018-01-12,2017-02-14,2018-01-12,2018-01-12,LBRT US,Liberty Oilfield Services Inc,248.894,12.7311,17.0,"IPO,Primary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1205.04,24.70588303,27.94117737,"Evercore Partners Inc, JP Morgan, Citi, Wells Fargo, Goldman Sachs, Morgan Stanley",Class A,1205.04
MDB US,2017-09-21,2017-10-19,2017-09-21,2017-10-18,2017-10-19,MDB US,MongoDB Inc,220.8,8.0,24.0,"IPO,Primary Share Offering,Emerging Growth Company",1204.04,37.5,33.625,"Goldman Sachs, Morgan Stanley, Allen & Co, Barclays",Class A,1204.04
TGE US,2015-02-24,2015-05-07,2015-02-24,2015-05-06,2015-05-07,TGE US,Tallgrass Energy LP,1384.03,41.5,29.0,"IPO,Primary Share Offering,Emerging Growth Company",1203.5,6.551723957,9.482758522,"Wells Fargo, RBC Capital Markets, Morgan Stanley, Deutsche Bank, Credit Suisse, Barclays, Bank of America Merrill Lynch, Citi, Goldman Sachs",Class A,1203.5
ORTX US,2018-10-04,2018-10-31,2018-10-04,2018-10-30,2018-10-31,ORTX US,Orchard Therapeutics plc,225.45,14.2857,14.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1188.78,21.4285717,0.0,"JP Morgan, Goldman Sachs, Cowen & Co",ADR,1188.78
ARLO US,2018-07-06,2018-08-03,2018-07-06,2018-08-02,2018-08-03,ARLO US,Arlo Technologies Inc,187.957,10.215,16.0,"IPO,Primary Share Offering,Emerging Growth Company",1187.96,15.625,38.125,"Bank of America Merrill Lynch, Deutsche Bank, Guggenheim Capital, Raymond James & Associates, Cowen & Co, Imperial Capital LLC",Common,1187.96
QUOT US,2014-01-31,2014-03-07,2014-01-31,2014-03-06,2014-03-07,QUOT US,Quotient Technology Inc,193.2,10.5,16.0,"IPO,Primary Share Offering",1187.92,69.6875,87.5,"Goldman Sachs, Allen & Co, Bank of America Merrill Lynch, RBC Capital Markets",Common,1187.92
PUMP US,2017-02-08,2017-03-17,2017-02-08,2017-03-16,2017-03-17,PUMP US,ProPetro Holding Corp,402.5,25.0,14.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1162.56,7.142857075,3.571428537,"JP Morgan, Credit Suisse, Barclays, Goldman Sachs",Common,1162.56
1624831D US,2010-10-08,2012-05-03,2010-10-08,2012-05-02,2012-05-03,1624831D US,TIAA FSB Holdings Inc,221.03,19.22,10.0,"IPO,Primary Share Offering,PE Backed",1160.62,4.0,6.0,"Goldman Sachs, Bank of America Merrill Lynch, Credit Suisse",Common,1160.62
CLBK US,2017-12-05,2018-04-20,2017-12-05,2018-04-17,2018-04-20,CLBK US,Columbia Financial Inc,498.32,49.832,10.0,"IPO,Primary Share Offering,Best Efforts,Emerging Growth Company",1158.89,53.09999847,54.20000076,Sandler O'Neill & Partners,Common,1158.89
NIO US,2018-08-13,2018-09-12,2018-08-13,2018-09-12,2018-09-12,NIO US,NIO Inc,1151.84,160.0,6.26,"IPO,Primary Share Offering,Emerging Growth Company",1151.84,-4.153357983,5.431305885,"Morgan Stanley, JP Morgan, Goldman Sachs, Credit Suisse, Deutsche Bank, Bank of America Merrill Lynch, Citi, UBS",ADR,1151.84
MSC US,2018-09-07,2018-10-18,2018-09-07,2018-10-17,2018-10-18,MSC US,Studio City International Hold,413.281,28.75,12.5,"IPO,Primary Share Offering",0.0,32.0,24.0,"Deutsche Bank, Credit Suisse, Morgan Stanley",ADR,1151.1841319999999
FRTA US,2016-07-08,2016-10-20,2016-07-08,2016-10-19,2016-10-20,FRTA US,Forterra Inc,331.56,18.42,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1148.21,-7.722222328,-8.333333015,"Goldman Sachs, Citi, Credit Suisse, Barclays, Deutsche Bank, RBC Capital Markets",Common,1148.21
GNRT US,2015-05-22,2015-06-25,2015-05-22,2015-06-24,2015-06-25,GNRT US,Gener8 Maritime Inc,236.351,15.0,14.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1146.21,-8.928571701,-6.428571224,"Citi, UBS, Jefferies, Evercore Partners Inc",Common,1146.21
BRY US,2018-06-29,2018-07-26,2018-06-29,2018-07-25,2018-07-26,BRY US,Berry Petroleum Corp,182.609,13.0435,14.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1138.72,21.4285717,3.571428537,"UBS, Evercore Partners Inc, BMO Capital Markets, Wells Fargo, Goldman Sachs",Common,1138.72
MCPIQ US,2010-04-16,2010-07-29,2010-04-16,2010-07-29,2010-07-29,MCPIQ US,Molycorp Inc,412.93,28.125,14.0,"IPO,Primary Share Offering,PE Backed,PE Exit",1137.5,-5.357142925,-8.214285851,"JP Morgan, Morgan Stanley",Common,1137.5
CGBD US,2017-05-19,2017-06-14,2017-05-19,2017-06-13,2017-06-14,CGBD US,TCG BDC Inc,174.903,9.0,18.5,"IPO,Primary Share Offering,Emerging Growth Company",1136.28,-3.783783674,-2.108108044,"Citi, JP Morgan, Morgan Stanley, Bank of America Merrill Lynch, Stifel, Wells Fargo",Common,1136.28
SXC US,2011-03-23,2011-07-21,2011-03-23,2011-07-20,2011-07-21,SXC US,SunCoke Energy Inc,213.44,11.6,16.0,"IPO,Secondary Share Offering",1120.0,6.25,6.25,"Goldman Sachs, Bank of America Merrill Lynch, Credit Suisse",Common,1120.0
ARX US,2010-04-06,2010-11-19,2010-04-06,2010-11-18,2010-11-19,ARX US,Aeroflex Holding Corp,267.154,17.25,13.5,"IPO,Primary Share Offering,PE Backed",1110.38,-6.14814806,0.0,"Goldman Sachs, Credit Suisse, JP Morgan, Morgan Stanley",Common,1110.38
TEAM US,2015-11-09,2015-12-10,2015-11-09,2015-12-09,2015-12-10,TEAM US,Atlassian Corp PLC,531.3,22.0,21.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",1110.31,31.76190567,32.285713200000004,"Goldman Sachs, Morgan Stanley, Allen & Co, Jefferies, UBS",Class A,1110.31
RKUS US,2012-10-05,2012-11-16,2012-10-05,2012-11-15,2012-11-16,RKUS US,Ruckus Wireless Inc,126.0,8.4,15.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",1105.29,0.0,-18.33333397,"Goldman Sachs, Morgan Stanley, Deutsche Bank",Common,1105.29
LPRIQ US,2010-12-13,2011-05-26,2010-12-13,2011-05-26,2011-05-26,LPRIQ US,Lone Pine Resources Inc,195.0,15.0,13.0,"IPO,Primary Share Offering",1105.25,-4.230769157,-3.538461447,"TD Securities, Credit Suisse, JP Morgan",Common,1105.25
