,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
COE US,2016-05-12,2016-06-10,2016-05-12,2016-06-09,2016-06-10,COE US,China Online Education Group,52.44,2.4,19.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",5611.57,2.631578922,-0.1052631587,"Morgan Stanley, Credit Suisse",ADR,5611.57
LC US,2014-08-27,2014-12-11,2014-08-27,2014-12-10,2014-12-11,LC US,LendingClub Corp,1000.5,58.0,15.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed",5547.18,65.0,56.20000076,"Morgan Stanley, Goldman Sachs, Credit Suisse, Citi",Common,5547.18
GTES US,2017-12-27,2018-01-25,2017-12-27,2018-01-24,2018-01-25,GTES US,Gates Industrial Corp PLC,841.225,38.5,19.0,"IPO,Primary Share Offering,PE Backed",5505.25,0.2631579041,-2.631578922,"RBC Capital Markets, Goldman Sachs, Credit Suisse, Barclays, UBS, Citi, Morgan Stanley",Common,5505.25
MBBYF US,2014-06-19,2014-08-01,2014-06-19,2014-07-31,2014-08-01,MBBYF US,Mobileye NV,1023.18,35.589,25.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",5307.52,44.0,48.0,"Goldman Sachs, Morgan Stanley, Deutsche Bank, Barclays, Citi",Common,5307.52
PACT US,2010-06-17,2010-06-30,2010-06-17,2010-06-29,2010-06-30,PACT US,Pactera Technology Internation,85.1,7.4,10.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",5295.83,2.5,4.0,"Deutsche Bank, UBS, Citi",ADR,5295.83
IQV US,2013-02-15,2013-05-09,2013-02-15,2013-05-08,2013-05-09,IQV US,IQVIA Holdings Inc,1089.47,23.6842,40.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",5156.6,9.399999619,5.275000095,"Deutsche Bank, Bank of America Merrill Lynch, Wells Fargo, Goldman Sachs, Citi, Morgan Stanley, JP Morgan, Barclays",Common,5156.6
FTCH US,2018-08-20,2018-09-21,2018-08-20,2018-09-20,2018-09-21,FTCH US,Farfetch Ltd,1017.61,44.2437,20.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",5132.75,35.0,42.25,"Goldman Sachs, JP Morgan, Allen & Co, UBS, Credit Suisse, Deutsche Bank, Wells Fargo",Class A,5132.75
VOYA US,2012-11-09,2013-05-02,2012-11-09,2013-05-01,2013-05-02,VOYA US,Voya Financial Inc,1461.94,65.1923,19.5,"IPO,Primary Share Offering,Secondary Share Offering",5084.24,-1.282051325,6.871794701,"JP Morgan, Deutsche Bank, Credit Suisse, Bank of America Merrill Lynch, Citi, Morgan Stanley, Goldman Sachs",Common,5084.24
USFD US,2016-02-09,2016-05-26,2016-02-09,2016-05-25,2016-05-26,USFD US,US Foods Holding Corp,1175.56,44.4444,23.0,"IPO,Primary Share Offering,PE Backed",5066.8,5.434782505,8.304347992,"Kohlberg Kravis Roberts & Co, Wells Fargo, Deutsche Bank, Credit Suisse, Citi, Bank of America Merrill Lynch, JP Morgan, Morgan Stanley, Goldman Sachs",Common,5066.8
SHP US,2010-09-30,2010-10-19,2010-09-30,2010-10-18,2010-10-19,SHP US,ShangPharma Corp,87.0,5.8,15.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",5034.0,0.0,-15.0,"JP Morgan, Citi",ADR,5034.0
