,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
DIA SM,2015-05-18,2015-05-19,2015-05-18,2015-05-19,DIA SM,Distribuidora Internacional de,463.666,55.2,7.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",5370.54,-1.288749104e-06,-0.4189201891,Citi,Stocks,5370.54,42.42608227431405,Citi
MONY LN,2015-05-18,2015-05-19,2015-05-18,2015-05-19,MONY LN,Moneysupermarket.com Group PLC,87.7688,20.0,280.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2367.66,5.392857075,5.571428776,Credit Suisse,Stocks,2367.66,4.656511974764988,Credit Suisse
PDL LN,2015-05-18,2015-05-19,2015-05-18,2015-05-19,PDL LN,Petra Diamonds Ltd,65.2885,25.2465,165.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1318.04,4.242424011,5.090909004,Barclays,Stocks,1318.04,2.785633548868396,Barclays
CERV IM,2015-05-18,2015-05-19,2015-05-18,2015-05-19,CERV IM,Cerved Group SpA,230.652,32.0,6.35,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1380.28,2.755907059,1.102363706,JP Morgan,Stocks,1380.28,1.0525096970397032,JP Morgan
CIR LN,2015-05-15,2015-06-11,2015-05-15,2015-06-11,CIR LN,Circassia Pharmaceuticals Plc,161.814,35.64,288.05,"ADDL,Primary Share Offering,Rule 144A",1261.29,-2.794649601,-2.447487593,"JP Morgan, Peel Hunt LLP",Stocks,1261.29,1.439629836884789,"JP Morgan, Peel Hunt LLP"
GLB ID,2015-05-14,2015-05-15,2015-05-14,2015-05-15,GLB ID,Glanbia PLC,77.1496,4.0,16.95,"ADDL,Secondary Share Offering",5735.97,1.769906878,4.66076231,"Goodbody, Davy",Stocks,5735.97,7.947089306191382,"Goodbody, Davy"
IPO LN,2015-05-14,2015-05-19,2015-05-14,2015-05-19,IPO LN,IP Group PLC,88.1637,26.8983,208.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",1850.13,-1.442307711,3.365384579,Numis,Stocks,1850.13,1.6963643156878452,Numis
MONC IM,2015-05-13,2015-05-14,2015-05-13,2015-05-14,MONC IM,Moncler SpA,381.383,19.5,17.2,"ADDL,Secondary Share Offering,PE Backed,PE Exit",4892.97,0.2906932235,1.860460639,Bank of America Merrill Lynch,Stocks,4892.97,22.70421209232234,Bank of America Merrill Lynch
RGU LN,2015-05-11,2015-05-11,2015-05-11,2015-05-11,RGU LN,Regus PLC,114.528,30.0,245.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3581.63,1.551020384,0.0,JP Morgan,Stocks,3581.63,3.64068914374166,JP Morgan
OSB LN,2015-05-11,2015-05-12,2015-05-11,2015-05-12,OSB LN,OneSavings Bank PLC,73.0068,15.7226,298.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1137.66,0.8389261961,2.013422728,Barclays,Stocks,1137.66,1.4071651316574996,Barclays
IMCD NA,2015-05-11,2015-05-14,2015-05-11,2015-05-14,IMCD NA,IMCD NV,365.871,10.0,32.79,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.25037837,0.24397403,"Deutsche Bank, Goldman Sachs",Stocks,1829.3541,1.0365552709399335,"Deutsche Bank, Goldman Sachs"
CEC GR,2015-05-06,2015-05-07,2015-05-06,2015-05-07,CEC GR,CECONOMY AG,558.804,16.25,30.37,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",11090.0,0.7902507782,1.922947407,Societe Generale,Stocks,11090.0,30.729514294343012,Societe Generale
EVK GR,2015-05-06,2015-05-07,2015-05-06,2015-05-07,EVK GR,Evonik Industries AG,793.403,22.0,31.85,"ADDL,Secondary Share Offering,Accelerated Bookbuild",16805.7,0.8163253069,4.244896889,"Bank of America Merrill Lynch, JP Morgan",Stocks,16805.7,19.37519844356454,"Bank of America Merrill Lynch, JP Morgan"
CMBN SW,2015-05-06,2015-05-07,2015-05-06,2015-05-07,CMBN SW,Cembra Money Bank AG,572.226,9.4608,55.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1805.86,2.072072029,1.711711764,"Credit Suisse, Deutsche Bank",Stocks,1805.86,3.969642397960184,"Credit Suisse, Deutsche Bank"
ELIOR FP,2015-05-06,2015-05-07,2015-05-06,2015-05-07,ELIOR FP,Elior Group SA,288.547,16.4408,15.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2871.19,4.193548203,2.580645084,"Deutsche Bank, JP Morgan",Stocks,2871.19,3.3451591210942313,"Deutsche Bank, JP Morgan"
RBREW DC,2015-05-05,2015-05-05,2015-05-05,2015-05-05,RBREW DC,Royal Unibrew A/S,60.1711,1.65,243.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Rule 144A",2023.67,1.234567881,1.646090508,,Stocks,2023.67,3.7555508287636674,
OPHR LN,2015-04-29,2015-04-30,2015-04-29,2015-04-30,OPHR LN,Ophir Energy Ltd,122.497,56.6074,140.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1515.83,1.428571463,2.8571429249999998,JP Morgan,Stocks,1515.83,6.6418226190956915,JP Morgan
M5Z GR,2015-04-28,2015-05-04,2015-04-28,2015-05-04,M5Z GR,Manz AG,55.2706,0.5928,85.0,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",513.404,7.576470375,7.297646999,Bankhaus Lampe KG,Stocks,513.404,4.153245312049491,Bankhaus Lampe KG
INWI SS,2015-04-28,2015-04-29,2015-04-28,2015-04-29,INWI SS,Inwido AB,128.977,12.1248,91.0,"ADDL,Secondary Share Offering,PE Backed,Accelerated Bookbuild",633.651,1.373626351,0.8241758347,"Carnegie, Svenska Handelsbanken",Stocks,633.651,1.93976600187107,"Carnegie, Svenska Handelsbanken"
CBK GR,2015-04-27,2015-04-30,2015-04-27,2015-04-30,CBK GR,Commerzbank AG,1502.54,113.851,12.1,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,1.239666224,0.4132199883,"Commerzbank, Deutsche Bank",Stocks,15546.9546,130.94989440518037,"Commerzbank, Deutsche Bank"
CLIN LN,2015-04-24,2015-04-29,2015-04-24,2015-04-29,CLIN LN,Clinigen Group Plc,204.728,27.0,500.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",831.861,24.0,20.5,"Numis, Peel Hunt LLP",Stocks,831.861,1.044968967431354,"Numis, Peel Hunt LLP"
ABE SM,2015-04-16,2015-04-17,2015-04-16,2015-04-17,ABE SM,Abertis Infraestructuras SA,212.613,12.0822,16.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",15807.7,0.3048803806,0.6097584367,"Bank of America Merrill Lynch, JP Morgan, UBS",Stocks,15807.7,180.0826576092557,"Bank of America Merrill Lynch, JP Morgan, UBS"
OML LN,2015-04-16,2015-04-17,2015-04-16,2015-04-17,OML LN,Om Residual UK Ltd,120.233,0.0,237.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,0.08438818902,-0.1265822798,Citi,Stocks,17662.4161,28.4328102938662,Citi
PNN LN,2015-04-16,2015-04-16,2015-04-16,2015-04-16,PNN LN,Pennon Group PLC,149.657,12.0843,830.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",5095.34,1.807228923,1.987951756,"Credit Suisse, Morgan Stanley",Stocks,5095.34,14.019917428974402,"Credit Suisse, Morgan Stanley"
SRN IM,2015-04-16,2015-04-17,2015-04-16,2015-04-17,SRN IM,Sorin SpA,65.8881,21.8525,2.81,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1449.94,1.423489571,1.352315187,Equita SIM SpA,Stocks,1449.94,5.637871474159687,Equita SIM SpA
VNA GR,2015-04-15,2015-04-15,2015-04-15,2015-04-15,VNA GR,Vonovia SE,769.851,23.5,30.85,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",12191.6,1.13452065,1.144245148,Bank of America Merrill Lynch,Stocks,12191.6,36.83154431989122,Bank of America Merrill Lynch
GLPG NA,2015-04-15,2015-05-14,2015-04-15,2015-05-14,GLPG NA,Galapagos NV,69.4063,1.5335,37.0,"ADDL,Primary Share Offering",1585.31,19.97297287,18.67567635,"Morgan Stanley, Credit Suisse, Cowen & Co",Stocks,1585.31,4.95097977982121,"Morgan Stanley, Credit Suisse, Cowen & Co"
VM/ LN,2015-04-14,2015-04-15,2015-04-14,2015-04-15,VM/ LN,Virgin Money Holdings UK PLC,354.768,60.0,400.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2613.06,-0.9250000119,-0.5749999881,"Bank of America Merrill Lynch, Goldman Sachs",Stocks,2613.06,4.686891496679972,"Bank of America Merrill Lynch, Goldman Sachs"
APPS SM,2015-04-13,2015-04-14,2015-04-13,2015-04-14,APPS SM,Applus Services SA,174.603,15.0,11.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1524.24,0.9090909362,1.363636374,Morgan Stanley,Stocks,1524.24,6.781127530611409,Morgan Stanley
SPI LN,2015-04-13,2015-04-14,2015-04-13,2015-04-14,SPI LN,Spire Healthcare Group PLC,200.024,40.1081,340.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Rule 144A",2000.25,-1.5,-3.235294104,"Morgan Stanley, JP Morgan",Stocks,2000.25,2.219699414189056,"Morgan Stanley, JP Morgan"
AV/ LN,2015-03-31,2015-03-31,2015-03-31,2015-03-31,AV/ LN,Aviva PLC,243.211,30.8,532.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",23313.8,1.503759384,3.195488691,Goldman Sachs,Stocks,23313.8,80.93984489083186,Goldman Sachs
FR FP,2015-03-30,2015-03-31,2015-03-30,2015-03-31,FR FP,Valeo SA,203.505,1.3221,142.26,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",12127.3,-2.643044233,-3.029660225,Credit Suisse,Stocks,12127.3,54.42043269499118,Credit Suisse
BKIR ID,2015-03-30,2015-03-31,2015-03-30,2015-03-31,BKIR ID,Bank of Ireland,364.521,935.821,0.36,"ADDL,Secondary Share Offering,Block",12499.0,-1.944448352,-0.8333372474,Deutsche Bank,Stocks,12499.0,34.24520329911594,Deutsche Bank
SCR FP,2015-03-30,2015-03-31,2015-03-30,2015-03-31,SCR FP,SCOR SE,87.091,2.5679,31.345,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6490.19,-0.1276098788,1.228268266,UBS,Stocks,6490.19,16.79721258521254,UBS
CARD LN,2015-03-27,2015-03-31,2015-03-27,2015-03-31,CARD LN,Card Factory PLC,92.003,20.61,300.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1520.87,-0.06666667014,2.666666746,UBS,Stocks,1520.87,1.6321856166726754,UBS
KGX GR,2015-03-26,2015-03-27,2015-03-26,2015-03-27,KGX GR,KION Group AG,571.224,13.7785,38.15,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4113.36,1.42856741,0.1389212906,Goldman Sachs,Stocks,4113.36,11.021368083570035,Goldman Sachs
IMA IM,2015-03-26,2015-03-27,2015-03-26,2015-03-27,IMA IM,IMA Industria Macchine Automat,116.993,2.5633,42.0,"ADDL,Primary Share Offering,Secondary Share Offering,Best Efforts,Accelerated Bookbuild,REG S,Rule 144A",1712.01,2.476190567,2.761904716,UniCredit,Stocks,1712.01,3.14300341322615,UniCredit
LSE LN,2015-03-25,2015-03-26,2015-03-25,2015-03-26,LSE LN,London Stock Exchange Group PL,2022.46,60.4,2250.0,"ADDL,Secondary Share Offering,Government Exit",11717.8,7.155555725,7.24444437,"Bank of America Merrill Lynch, Barclays, Nomura",Stocks,11717.8,20.497558406035157,"Bank of America Merrill Lynch, Barclays, Nomura"
AA/ LN,2015-03-25,2015-04-21,2015-03-25,2015-04-21,AA/ LN,AA PLC,56.2718,9.8213,385.0,"ADDL,Primary Share Offering",3471.76,1.974025965,5.194805145,"Cenkos Securities, Credit Suisse, Morgan Stanley",Stocks,3471.76,9.556819595434416,"Cenkos Securities, Credit Suisse, Morgan Stanley"
HAV FP,2015-03-25,2015-03-26,2015-03-25,2015-03-26,HAV FP,Havas SA,659.333,93.9199,6.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2902.27,7.343748569,10.15624809,"BNP Paribas, Credit Mutuel-CIC, Credit Agricole CIB, Mediobanca, Natixis, Societe Generale",Stocks,2902.27,6.027885196103724,"BNP Paribas, Credit Mutuel-CIC, Credit Agricole CIB, Mediobanca, Natixis, Societe Generale"
AC FP,2015-03-24,2015-03-25,2015-03-24,2015-03-25,AC FP,Accor SA,1197.79,22.5,48.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",12464.7,-3.323076963,-1.066666722,Morgan Stanley,Stocks,12464.7,58.72857161044433,Morgan Stanley
CA FP,2015-03-23,2015-03-24,2015-03-23,2015-03-24,CA FP,Carrefour SA,430.393,12.7,31.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",24905.6,1.338709712,-0.04838709533,"BNP Paribas, Societe Generale",Stocks,24905.6,92.89702641207208,"BNP Paribas, Societe Generale"
COMH SS,2015-03-19,2015-03-20,2015-03-19,2015-03-20,COMH SS,Com Hem Holding AB,218.29,25.0,76.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1812.06,-2.631578922,-5.592105389,"Morgan Stanley, JP Morgan",Stocks,1812.06,3.108861723990013,"Morgan Stanley, JP Morgan"
JE/ LN,2015-03-17,2015-03-17,2015-03-17,2015-03-17,JE/ LN,Just Eat PLC,178.155,35.0,345.0,"ADDL,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2892.45,0.0,0.5797101259,"Goldman Sachs, Jefferies",Stocks,2892.45,1.5241638276228826,"Goldman Sachs, Jefferies"
BOSS GR,2015-03-16,2015-03-17,2015-03-16,2015-03-17,BOSS GR,HUGO BOSS AG,1005.2,8.4,113.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",8424.56,1.619469047,2.479645967,"Bank of America Merrill Lynch, UBS",Stocks,8424.56,43.08127461305538,"Bank of America Merrill Lynch, UBS"
STM GR,2015-03-16,2015-03-17,2015-03-16,2015-03-17,STM GR,Stabilus SA,127.363,4.2,28.635,"ADDL,Primary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",628.72,7.253360271,8.608345985,Commerzbank,Stocks,628.72,1.1271010146250438,Commerzbank
ISS DC,2015-03-12,2015-03-13,2015-03-12,2015-03-13,ISS DC,ISS A/S,1038.61,35.783,204.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",5389.04,7.058823586,11.66666698,"Goldman Sachs, Nordea Bank Abp, UBS",Stocks,5389.04,10.51516893224777,"Goldman Sachs, Nordea Bank Abp, UBS"
ATL IM,2015-03-10,2015-03-11,2015-03-10,2015-03-11,ATL IM,Atlantia SpA,244.341,9.7415,23.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",20712.6,1.880343556,1.153847814,Morgan Stanley,Stocks,20712.6,51.06766389199798,Morgan Stanley
ZAL GR,2015-03-10,2015-03-11,2015-03-10,2015-03-11,ZAL GR,Zalando SE,454.528,17.8543,23.75,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild,REG S,Rule 144A",6231.06,-2.757894754,0.4294736981,"Credit Suisse, Goldman Sachs, Morgan Stanley",Stocks,6231.06,7.026505114951534,"Credit Suisse, Goldman Sachs, Morgan Stanley"
DEC FP,2015-03-10,2015-03-11,2015-03-10,2015-03-11,DEC FP,JCDecaux SA,405.178,12.0,31.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",7431.79,3.206349134,4.269841194,Goldman Sachs,Stocks,7431.79,5.258683527931627,Goldman Sachs
DNO NO,2015-03-09,2015-03-10,2015-03-09,2015-03-10,DNO NO,DNO ASA,122.9,73.5849,13.25,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",1084.54,-3.094339609,-9.358490944,"DNB ASA, Pareto Securities",Stocks,1084.54,13.952232522487034,"DNB ASA, Pareto Securities"
BVI FP,2015-03-05,2015-03-06,2015-03-05,2015-03-06,BVI FP,Bureau Veritas SA,1074.55,48.0,20.32,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,REG S,Rule 144A",9773.03,-0.1722425967,-0.7135812044,"Deutsche Bank, Societe Generale",Stocks,9773.03,14.87882886374211,"Deutsche Bank, Societe Generale"
ONTEX BB,2015-03-05,2015-03-06,2015-03-05,2015-03-06,ONTEX BB,Ontex Group NV,439.315,15.6377,25.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",1883.97,3.450980425,1.607843161,"Bank of America Merrill Lynch, Goldman Sachs, UBS",Stocks,1883.97,3.711887694486987,"Bank of America Merrill Lynch, Goldman Sachs, UBS"
EVK GR,2015-03-04,2015-03-04,2015-03-04,2015-03-04,EVK GR,Evonik Industries AG,581.0,18.0,29.15,"ADDL,Secondary Share Offering,Accelerated Bookbuild",15041.5,2.058320284,2.751287699,"Bank of America Merrill Lynch, JP Morgan",Stocks,15041.5,9.15749463105421,"Bank of America Merrill Lynch, JP Morgan"
GLEN LN,2015-03-03,2015-03-04,2015-03-03,2015-03-04,GLEN LN,Glencore PLC,233.553,53.7566,282.45,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",56424.5,0.4602541029,3.328018188,Deutsche Bank,Stocks,56424.5,135.29061381705515,Deutsche Bank
ABE SM,2015-03-03,2015-03-04,2015-03-03,2015-03-04,ABE SM,Abertis Infraestructuras SA,1237.62,67.3729,16.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",16313.0,1.097563386,1.28049016,UBS,Stocks,16313.0,30.283374376964264,UBS
SAF FP,2015-03-02,2015-03-03,2015-03-02,2015-03-03,SAF FP,Safran SA,1154.58,16.5,62.6,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S",29241.4,0.6869034171,1.869012117,Bank of America Merrill Lynch,Stocks,29241.4,59.89891469240413,Bank of America Merrill Lynch
VIE FP,2015-03-02,2015-03-03,2015-03-02,2015-03-03,VIE FP,Veolia Environnement SA,542.458,28.3962,17.09,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",10763.9,-0.6436521411,-0.52662462,"Deutsche Bank, Societe Generale",Stocks,10763.9,50.77312303108341,"Deutsche Bank, Societe Generale"
MERL LN,2015-03-02,2015-03-03,2015-03-02,2015-03-03,MERL LN,Merlin Entertainments PLC,1002.6,156.541,417.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",6555.47,-0.2398081571,-0.4796163142,Deutsche Bank,Stocks,6555.47,6.212402251032924,Deutsche Bank
ACX SM,2015-02-26,2015-02-27,2015-02-26,2015-02-27,ACX SM,Acerinox SA,132.392,8.1,14.6,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4277.41,-2.612806384e-06,-0.9246601462,Citi,Stocks,4277.41,15.549482898597043,Citi
ENEL IM,2015-02-25,2015-02-26,2015-02-25,2015-02-26,ENEL IM,Enel SpA,2454.94,540.116,4.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S,Rule 144A",42108.4,0.8999999762,2.950000048,"Bank of America Merrill Lynch, Goldman Sachs, Mediobanca, UniCredit",Stocks,42108.4,211.35085193947702,"Bank of America Merrill Lynch, Goldman Sachs, Mediobanca, UniCredit"
ATO FP,2015-02-24,2015-02-25,2015-02-24,2015-02-25,ATO FP,Atos SE,659.642,9.2,63.25,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",7294.68,0.252964437,0.4584980309,"BNP Paribas, Morgan Stanley",Stocks,7294.68,25.827753490651148,"BNP Paribas, Morgan Stanley"
ISAT LN,2015-02-23,2015-02-24,2015-02-23,2015-02-24,ISAT LN,Inmarsat PLC,282.185,21.7391,840.0,"ADDL,Secondary Share Offering,Rule 144A",5822.08,2.678571463,3.869047642,Nomura,Stocks,5822.08,9.780348539545649,Nomura
RECIB SS,2015-02-20,2015-02-20,2015-02-20,2015-02-20,RECIB SS,Recipharm AB,50.819,2.69,158.0,"ADDL,Secondary Share Offering,Block",0.0,1.898734212,6.012658119,Carnegie,Stocks,860.9906,2.199511305893201,Carnegie
NN NA,2015-02-17,2015-02-18,2015-02-17,2015-02-18,NN NA,NN Group NV,1424.97,52.0,24.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",9591.59,2.5,4.791666508,"ING Groep, ABN Amro Bank NV, Citi, Commerzbank, Deutsche Bank, HSBC, Morgan Stanley",Stocks,9591.59,6.2052806026292995,"ING Groep, ABN Amro Bank NV, Citi, Commerzbank, Deutsche Bank, HSBC, Morgan Stanley"
BT/A LN,2015-02-12,2015-02-17,2015-02-12,2015-02-17,BT/A LN,BT Group PLC,1551.82,221.9,455.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",58556.9,-2.813186884,-4.307692528,"Goldman Sachs, JP Morgan, Bank of America Merrill Lynch",Stocks,58556.9,105.92479940715857,"Goldman Sachs, JP Morgan, Bank of America Merrill Lynch"
MS IM,2015-02-12,2015-02-13,2015-02-12,2015-02-13,MS IM,Mediaset SpA,429.555,92.0,4.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",5515.24,-2.78048563,-5.512192726,"Bank of America Merrill Lynch, UniCredit",Stocks,5515.24,45.11318448278124,"Bank of America Merrill Lynch, UniCredit"
MB IM,2015-02-12,2015-02-13,2015-02-12,2015-02-13,MB IM,Mediobanca Banca di Credito Fi,379.22,42.4302,0.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",0.0,,,Morgan Stanley,Stocks,7863.623,44.89990550833191,Morgan Stanley
VALMT FH,2015-02-12,2015-02-13,2015-02-12,2015-02-13,VALMT FH,Valmet Oyj,135.116,10.4905,11.31,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1930.23,0.3536655903,-0.3536730111,UBS,Stocks,1930.23,5.657938601187723,UBS
KGX GR,2015-02-12,2015-02-12,2015-02-12,2015-02-12,KGX GR,KION Group AG,178.656,4.842,32.4,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3649.13,2.484563112,8.719130516,"Goldman Sachs, Deutsche Bank",Stocks,3649.13,5.18122830081503,"Goldman Sachs, Deutsche Bank"
RKET GR,2015-02-12,2015-02-13,2015-02-12,2015-02-13,RKET GR,Rocket Internet SE,670.184,12.0102,49.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild",0.0,7.102040768,2.438775539,"Joh Berenberg Gossler & Co KG, JP Morgan, Morgan Stanley",Stocks,9118.7709,5.042605270226416,"Joh Berenberg Gossler & Co KG, JP Morgan, Morgan Stanley"
IMG LN,2015-02-12,2015-02-12,2015-02-12,2015-02-12,IMG LN,Imagination Technologies Group,50.4597,13.4,245.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1020.2,2.448979616,5.306122303,JP Morgan,Stocks,1020.2,2.4380567012262495,JP Morgan
TELIA SS,2015-02-10,2015-02-11,2015-02-10,2015-02-11,TELIA SS,Telia Co AB,1225.3,200.0,51.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S",26307.6,,,,Stocks,26307.6,51.255182622429565,
PLND LN,2015-02-10,2015-02-11,2015-02-10,2015-02-11,PLND LN,Poundland Group Ltd,216.282,35.0,405.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1544.87,-3.753086329,-6.172839642,"Credit Suisse, JP Morgan",Stocks,1544.87,2.038069843491725,"Credit Suisse, JP Morgan"
BOSS GR,2015-02-09,2015-02-10,2015-02-09,2015-02-10,BOSS GR,HUGO BOSS AG,1040.0,9.0,102.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",8122.92,4.941176414,5.884313583,UBS,Stocks,8122.92,19.202678202603764,UBS
GMAB DC,2015-02-04,2015-02-05,2015-02-04,2015-02-05,GMAB DC,Genmab A/S,294.839,4.4712,430.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3768.5,4.674418449,7.581395149,Deutsche Bank,Stocks,3768.5,13.543438882321606,Deutsche Bank
CIE SM,2015-02-04,2015-02-04,2015-02-04,2015-02-04,CIE SM,CIE Automotive SA,88.4891,6.46,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,2.5,0.8333333135,UBS,Stocks,1836.2511,2.684762115705735,UBS
ANIM IM,2015-02-03,2015-02-04,2015-02-03,2015-02-04,ANIM IM,Anima Holding SpA,115.051,22.4178,4.474,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1538.63,0.1341086924,2.592758656,UBS,Stocks,1538.63,2.2449817818490834,UBS
BME LN,2015-02-03,2015-02-04,2015-02-03,2015-02-04,BME LN,B&M European Value Retail SA,582.144,120.0,320.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",4851.2,-0.3125,-2.1875,"Bank of America Merrill Lynch, Deutsche Bank",Stocks,4851.2,1.8682155888228895,"Bank of America Merrill Lynch, Deutsche Bank"
CRH ID,2015-02-02,2015-02-05,2015-02-02,2015-02-05,CRH ID,CRH PLC,1833.42,74.0399,21.85,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,6.864986897,6.49885416,"Davy, JP Morgan, Bank of America Merrill Lynch, UBS",Stocks,19279.4606,20.98824180849386,"Davy, JP Morgan, Bank of America Merrill Lynch, UBS"
EDP PL,2015-01-29,2015-02-03,2015-01-29,2015-02-03,EDP PL,EDP - Energias de Portugal SA,281.551,73.2499,3.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,-0.205885157,-1.647061586,"Caixa Banco de Investimento SA, Banco Comercial Portugues SA, Morgan Stanley, Novo Banco SA",Stocks,14600.2857,23.456089504305616,"Caixa Banco de Investimento SA, Banco Comercial Portugues SA, Morgan Stanley, Novo Banco SA"
ARL GR,2015-01-29,2015-01-30,2015-01-29,2015-01-30,ARL GR,Aareal Bank AG,615.934,17.2963,31.5,"ADDL,Secondary Share Offering,Block",0.0,6.238095284,7.942857265,"Bankhaus Lampe KG, Deutsche Bank",Stocks,2145.0942,7.51724294837204,"Bankhaus Lampe KG, Deutsche Bank"
BC IM,2015-01-29,2015-01-30,2015-01-29,2015-01-30,BC IM,Brunello Cucinelli SpA,71.0994,3.494,18.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,2.222222328,0.555555582,Bank of America Merrill Lynch,Stocks,1502.8867,1.830378663722392,Bank of America Merrill Lynch
BAVA DC,2015-01-26,2015-01-26,2015-01-26,2015-01-26,BAVA DC,Bavarian Nordic A/S,54.3145,1.7939,200.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",837.81,4.0,1.5,"Jefferies, Nordea Bank Abp",Stocks,837.81,3.8267456668371147,"Jefferies, Nordea Bank Abp"
