,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
GNS LN,2018-12-06,2018-12-12,2018-12-06,2018-12-12,GNS LN,Genus PLC,87.1831,3.0972,2200.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1830.98,3.181818247,1.636363626,"Liberum Capital Ltd, Peel Hunt LLP",Stocks,1830.98,1.674657237971153,"Liberum Capital Ltd, Peel Hunt LLP"
ROSE SW,2018-11-28,2018-12-03,2018-11-28,2018-12-03,ROSE SW,Zur Rose Group AG,117.831,1.2613,93.0,"ADDL,Primary Share Offering,Rump Placement,REG S,Rule 144A",780.674,0.6451612711,4.838709831,"Morgan Stanley, UBS",Stocks,780.674,1.4655781482880157,"Morgan Stanley, UBS"
IRE IM,2018-11-26,2018-11-26,2018-11-26,2018-11-26,IRE IM,Iren SpA,69.0148,32.9318,1.85,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2728.98,2.324322939,5.945944786,UniCredit,Stocks,2728.98,3.3021895666586207,UniCredit
PTEC LN,2018-11-22,2018-11-23,2018-11-22,2018-11-23,PTEC LN,Playtech Plc,85.8623,15.1935,439.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1793.39,5.102505684,2.277904272,Credit Suisse,Stocks,1793.39,7.306098085921029,Credit Suisse
BARN SW,2018-11-15,2018-11-16,2018-11-15,2018-11-16,BARN SW,Barry Callebaut AG,264.583,0.15,1775.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",9741.83,0.7887324095,-2.816901445,Goldman Sachs,Stocks,9741.83,17.296089155633343,Goldman Sachs
TRIG LN,2018-11-12,2018-11-19,2018-11-12,2018-11-19,TRIG LN,Renewables Infrastructure Grou,101.585,71.8679,110.0,"ADDL,Primary Share Offering,REG S,Rule 144A",1650.76,0.3636363745,1.272727251,"Canaccord Genuity, Liberum Capital Ltd",Stocks,1650.76,2.2985085153098814,"Canaccord Genuity, Liberum Capital Ltd"
CHR DC,2018-11-08,2018-11-09,2018-11-08,2018-11-09,CHR DC,Chr Hansen Holding A/S,463.005,4.85,625.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",12519.6,3.584000111,3.200000048,"Bank of America Merrill Lynch, Goldman Sachs",Stocks,12519.6,26.528800671579248,"Bank of America Merrill Lynch, Goldman Sachs"
MAS SM,2018-11-07,2018-11-13,2018-11-07,2018-11-13,MAS SM,Masmovil Ibercom SA,412.704,3.6,100.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2756.19,0.6000000238,-0.8000000119,"Barclays, Goldman Sachs, Morgan Stanley, Societe Generale",Stocks,2756.19,7.3078792546903,"Barclays, Goldman Sachs, Morgan Stanley, Societe Generale"
NETC DC,2018-11-07,2018-11-08,2018-11-07,2018-11-08,NETC DC,Netcompany Group A/S,241.74,7.15,220.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1680.18,2.409090996,1.045454502,"Danske Bank, Deutsche Bank, Morgan Stanley",Stocks,1680.18,1.5500493851156611,"Danske Bank, Deutsche Bank, Morgan Stanley"
PEN NO,2018-11-06,2018-12-07,2018-11-06,2018-12-07,PEN NO,Panoro Energy ASA,250.838,15.58,16.1,"ADDL,Primary Share Offering,Accelerated Bookbuild",1004.44,-90.38909912,-90.86058044,"Michelet & Co Advokatfirma AS, Pareto Securities, Sparebank 1 BV",Stocks,1004.44,1.1362648863566949,"Michelet & Co Advokatfirma AS, Pareto Securities, Sparebank 1 BV"
BVI FP,2018-10-29,2018-10-30,2018-10-29,2018-10-30,BVI FP,Bureau Veritas SA,455.52,20.9205,19.12,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,REG S,Rule 144A",9628.75,3.347275734,4.340999603,Goldman Sachs,Stocks,9628.75,20.69120009849047,Goldman Sachs
AVST LN,2018-10-22,2018-10-23,2018-10-22,2018-10-23,AVST LN,Avast PLC,187.269,52.5,275.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3407.15,0.9636363387,3.345454454,"Morgan Stanley, UBS",Stocks,3407.15,7.775559089155024,"Morgan Stanley, UBS"
FLNG NO,2018-10-10,2018-10-11,2018-10-10,2018-10-11,FLNG NO,FLEX LNG Ltd,300.19,172.939,14.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",938.777,0.0,-0.7017543912,"ABN Amro Bank NV, Arctic Securities, DNB ASA, Fearnley Securities AS, Pareto Securities, SEB",Stocks,938.777,2.7084059133334706,"ABN Amro Bank NV, Arctic Securities, DNB ASA, Fearnley Securities AS, Pareto Securities, SEB"
LTG LN,2018-10-08,2018-10-08,2018-10-08,2018-10-08,LTG LN,Learning Technologies Group PL,53.2141,31.3094,130.0,"ADDL,Secondary Share Offering,Best Efforts,Sub Sector Flag,REG S,Rule 144A",1131.51,1.923076868,-0.3846153915,"Goldman Sachs, Joh Berenberg Gossler & Co KG, Numis",Stocks,1131.51,4.33028253415241,"Goldman Sachs, Joh Berenberg Gossler & Co KG, Numis"
SAF FP,2018-10-01,2018-10-02,2018-10-01,2018-10-02,SAF FP,Safran SA,1439.6,10.4,119.65,"ADDL,Secondary Share Offering,Government Exit",57636.7,-0.9193493724,-0.5432524085,"BNP Paribas, Morgan Stanley, Societe Generale",Stocks,57636.7,108.03180650190727,"BNP Paribas, Morgan Stanley, Societe Generale"
BUR LN,2018-10-01,2018-10-04,2018-10-01,2018-10-04,BUR LN,Burford Capital Ltd,251.08,10.4119,1850.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",5250.84,-2.054054022,-5.297297478,"Joh Berenberg Gossler & Co KG, Macquarie, Numis",Stocks,5250.84,9.215745015636317,"Joh Berenberg Gossler & Co KG, Macquarie, Numis"
DCC LN,2018-09-27,2018-10-01,2018-09-27,2018-10-01,DCC LN,DCC PLC,793.273,8.9045,6800.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,5.147058964,4.705882549,"Davy, JP Morgan",Stocks,8192.7028,19.326178276476174,"Davy, JP Morgan"
CLIN LN,2018-09-27,2018-10-01,2018-09-27,2018-10-01,CLIN LN,Clinigen Group Plc,104.809,9.4675,845.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1460.74,2.189349174,3.846153736,"Numis, RBC Capital Markets",Stocks,1460.74,2.6889131187201616,"Numis, RBC Capital Markets"
ASC LN,2018-09-26,2018-09-27,2018-09-26,2018-09-27,ASC LN,ASOS PLC,149.845,2.0,5685.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6228.67,0.5101143122,1.354441524,Numis,Stocks,6228.67,21.1293449922804,Numis
BFIT NA,2018-09-26,2018-09-27,2018-09-26,2018-09-27,BFIT NA,Basic-Fit NV,132.621,3.7,30.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1959.45,-3.606557369,-3.934426308,"ABN Amro Bank NV, Morgan Stanley",Stocks,1959.45,1.5760404352395838,"ABN Amro Bank NV, Morgan Stanley"
