,ITicker,Cusip,STicker,Name,Country,Currency_,OneTenth,SecType,ExchCtry,Exchange,Code
12572,ICI,45270450,ICIYY,IMPERIAL CHEMICAL INDUSTRIES,EX,USD,0,A,NA,U,6383
12573,ICIE,03462X40,AGCI,ANGELCITI ENTERT,NA,USD,,S,NA,U,66893
12574,ICII,45272910,ICII,IMPERIAL CR INDS INC,NA,USD,0,S,NA,U,6384
12575,ICIQ,45933710,ICIQ,INTERNATIONAL COMPUTEX INC.,NA,USD,0,S,NA,F,6385
12576,ICIX,45880110,ICIX,INTERMEDIA COMMU,NA,USD,,S,NA,F,6386
12577,ICLB,45927610,ICLB,INTERNATIONAL CLINICAL LABS,NA,USD,0,S,NA,F,6387
12578,ICLJ,Q4936R10,ICLJF,INTEC LTD,AA,AUD,0,D,NA,U,70588
12579,ICLK,45848320,ICLK,INTERCLICK INC,NA,USD,0,S,NA,H,73797
12580,ICLR,G4705A10,ICLR,ICON PLC,EZ,USD,0,S,NA,S,6388
12581,ICM,07644630,BED,BEDFORD PROPERTY INVESTORS INC,NA,USD,0,S,NA,A,6389
12582,ICM1,45884750,ICM,CERAMICA (INTL),LM,USD,0,A,NA,A,6390
12583,ICMI,45272T10,ICMI,IMPERIAL CREDIT COMMERCIAL,NA,USD,0,S,NA,F,6391
12584,ICMM,45844V20,ICGM,INTERCHANGE,NA,USD,,S,NA,U,72914
12585,ICMT,45091810,ICMT,ICON CMT CORP,NA,USD,0,S,NA,F,6392
12586,ICN,91911X10,VRX,VALEANT PHARMA,NA,USD,0,S,NA,A,6393
12587,ICNB,44928610,ICNB,ICNB FINANCIAL CORP.,NA,USD,0,S,NA,U,14840
12588,ICND,98410N10,XENO,XENO TRANSPLANTS,NA,USD,,S,NA,U,64281
12589,ICNN,45338K10,ICNN,INCOMING INC,NA,USD,,S,NA,G,75239
12590,ICNT,45336520,ICNT,INCOMNET INC,NA,USD,0,S,NA,U,6394
12591,ICO,44929310,ICOC,ICO INC,NA,USD,0,S,NA,F,6395
12592,ICOA,44929230,ICOA,ICOA INC,NA,USD,,S,NA,U,70589
12593,ICOG,G4705T10,ICOG,ICO GLOBAL COMMUNICATIONS,NA,USD,0,S,NA,U,6396
12594,ICOH,70686R70,PCOA,PENDRELL CORP,NA,USD,0,S,NA,S,75610
12595,ICOM,45774110,ICOM,INSTACOM INC,NA,USD,0,S,NA,X,6397
12596,ICOR,46490210,ICOR,ISOCOR,NA,USD,0,S,NA,F,6398
12597,ICOS,44929510,ICOS,ICOS CORP,NA,USD,0,S,NA,F,6399
12598,ICOT,02311510,AMTX,AMATI COMMUNICATIONS CORP,NA,USD,0,S,NA,F,6400
12599,ICOTF,45107J1X,ICOTF,ICO THERAPEUTICS,NC,CAD,,D,NA,U,76291
12600,ICOW,98935X10,ZNGY,ZENERGY BRANDS,NA,USD,,S,NA,U,55249
12601,ICPR,45094110,ICPR,ICP SOLAR TECH,NA,USD,,S,NA,U,73753
12602,ICPT,45845P10,ICPT,INTERCEPT PHARMACEUTICALS INC,NA,USD,0,S,NA,F,75890
12603,ICPW,44932Q10,ICPWQ,ICPW LIQUIDATION CORP,NA,USD,0,S,NA,U,64607
12604,ICPY,45776C20,ICPY,INSTI CLINIC PHA,NA,USD,0,S,NA,U,6401
12605,ICRR,45184110,IC,ILLINOIS CENT CORP,NA,USD,0,S,NA,A,6402
12606,ICRS,01663B10,AFSE,ALL ENERGY CORP,NA,USD,,S,NA,U,70590
12607,ICSI,45935910,ICSI,INTL CONTAINER S,NA,USD,,S,NA,F,6403
12608,ICST,45811K20,ICST,INTEGRATED CIRCUIT SYSTEMS,NA,USD,0,S,NA,F,6404
12609,ICTE,44931J10,ICTV,ICTV BRANDS,NA,USD,,S,NA,U,68702
12610,ICTG,44929Y10,ICTG,ICT GROUP,NA,USD,0,S,NA,F,6405
12611,ICTI,06759430,BCCI,INNOVATIVE COMMU,NA,USD,,S,NA,U,69263
12612,ICTL,62940710,NTLD,NTL INCORPORATED,NA,USD,,S,NA,U,6406
12613,ICTM,46062710,INTP,INTERPOINT CP WA,NA,USD,0,S,NA,F,6407
12614,ICTS,N4383710,ICTSF,ICTS INTERNATIONAL NV,NA,USD,0,S,NA,F,6408
12615,ICTT,29872C10,EGCO,EURO GROUP OF CO,NA,THB,,S,NA,U,66894
12616,ICTY,30231H10,ICTY,EYECITY.COM INC,NA,USD,,S,NA,U,73732
12617,ICU,97717W16,ICN,WISDOMTREE DREYF,NA,USD,,U,NA,A,73716
12618,ICUB,45969810,ICUB,INTERNATIONAL INTEGRATION INC,NA,USD,0,S,NA,F,6409
12619,ICUI,44930G10,ICUI,ICU MED INC,NA,USD,0,S,NA,S,6410
12620,ICUR,15118M20,CLST,CELSIA TECHNO,NA,USD,,S,NA,U,70591
12621,ICX,71343P20,PAS,PEPSIAMERICAS INC,NA,USD,0,S,NA,A,6411
12622,ICXT,44934T10,ICXT,ICX TECHNOLOGIES INC,NA,USD,0,S,NA,F,68647
12623,ICY,45102810,ICY,ICEE USA,NA,USD,,S,NA,B,6412
12624,ICYE,02120P10,ICEY,ALSIUS,NA,USD,,S,NA,F,69095
12625,ID,45165010,ICX,IDEAL TOY,NA,USD,0,S,NA,X,6413
12626,ID0A,45112610,IDBQE,IDAHO BANCORP,NA,USD,,S,NA,G,67710
12627,ID0B,45167M10,IDIBQ,IDI GLOBAL INC,NA,USD,,S,NA,U,66895
12628,ID1,37933510,GIX,GLOBAL INDUSTRIES TECH INCORPORA,NA,USD,0,S,NA,A,6414
12629,IDA,45110710,IDA,IDACORP INC.,NA,USD,0,S,NA,A,6415
12630,IDB1,44936D1X,IDBE,ID BIOMEDICAL CORPORATION,NC,USD,0,D,NA,F,15152
12631,IDBD,M2798P10,IDBDF,IDB,FZ,ILS,,D,NA,U,73568
12632,IDBX,44935510,IDBX,IDB COMMUN GROUP,NA,USD,0,S,NA,F,6417
12633,IDC,46112110,IDC,INTERTEC DATA SY,NA,USD,0,S,NA,X,6418
12634,IDCE,30057550,EWRC,EWORLD COS INC,NA,USD,,S,NA,U,64151
12635,IDCN,45577R10,IDCN,INDOCAN RSRCS,NC,CAD,,S,NA,U,70592
12636,IDCO,44936E10,IDCO,ID-CONFIRM,NC,CAD,,S,NA,U,76598
12637,IDCS,44936210,IDCS,IDC SVCS INC,NA,USD,0,S,NA,X,6419
12638,IDE,45819B10,IDE,INTEGRATED DEFENSE TECHNOLOGIES,NA,USD,0,S,NA,A,14461
12639,IDEA,45766K10,IDEA,INNOVASIVE DEVICES INC,NA,USD,0,S,NA,F,6420
12640,IDEE,92912X10,IDE,VOYA INFRA,NA,USD,,U,NA,A,74866
12641,IDEH,45938K20,IDEH,INTERNATIONAL DE,NA,USD,,S,NA,U,75374
12642,IDEL,45163710,IDEL,IDEAL SCH SUPPLY,NA,USD,0,S,NA,X,6421
12643,IDEX,E6282J12,IDEXF,INDUSTRIA DE DISENO TEXTIL SA,EE,EUR,0,D,NA,U,73966
12644,IDG,45606110,IDGR,INDUSTRIAL DISTRIBUTION GROUP,NA,USD,0,S,NA,F,6422
12645,IDGB,44554910,HMIN,HUNGRY MINDS INC,NA,USD,0,S,NA,F,6423
12646,IDGE,05357E10,AVNE,AVENTURA,NA,USD,,S,NA,U,70593
12647,IDGJ,45168J30,IDGC,IDGLOBAL CORP,NA,USD,,S,NA,U,64133
12648,IDHU,45428810,IDHUY,INDIAN HOTELS CO LTD,FI,USD,0,A,NA,U,14873
12649,IDI,34380C10,FLNT,FLUENT INC,NA,USD,0,S,NA,F,68716
12650,IDIX,45166R20,IDIX,IDENIX PHARMACEU,NA,USD,,S,NA,F,15153
12651,IDL,45154210,IDL,IDEAL BASIC INDS,NA,USD,0,S,NA,X,6424
12652,IDMT,45161XSD,IDM,IDEAL METAL,NA,USD,0,S,NA,X,6425
12653,IDN,45817G20,IDN,INTELLICHECK INC,NA,USD,0,S,NA,B,45199
12654,IDND,45940710,IDND,INTERNATIONAL DI,NA,USD,,S,NA,U,70594
12655,IDPH,09062X10,BIIB,BIOGEN INC,NA,USD,0,S,NA,S,6426
