,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
EIGI US,2014-11-21,2014-11-21,2014-11-21,2014-11-21,2014-11-21,EIGI US,Endurance International Group,216.775,13.0,14.5,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1919.57,17.24137878,17.65517235,"['Credit Suisse', 'Goldman Sachs', 'Morgan Stanley', 'Wells Fargo']",1919.57,4.427172207599999,16.1266,17.12,-0.1530373831775701,0.11217931034482764,True,True,0.11217931034482764,0.10664909591987648,1,885.4344415199998,99.32742500527121,94.43078268442872
PRGO US,2014-11-20,2014-11-21,2014-11-20,2014-11-20,2014-11-21,PRGO US,Perrigo Co PLC,1035.01,5.9211,152.0,"ADDL,Primary Share Offering",21398.3,0.8552631736,1.644736886,"['Bank of America Merrill Lynch', 'JP Morgan', 'Barclays']",21398.3,151.93815338963267,154.2267,154.27,-0.01471446165813195,0.014649342105263141,True,True,0.014649342105263141,0.009119127680311978,1,5000.0,73.24671052631571,45.59563840155989
LXRX US,2014-11-19,2014-11-21,2014-11-19,2014-11-21,2014-11-21,LXRX US,Lexicon Pharmaceuticals Inc,55.8869,49.7512,1.005,"ADDL,Primary Share Offering",723.295,-4.477611542,-1.492536902,"['JP Morgan', 'Goldman Sachs']",723.295,1.3713755476237761,0.9345,1.25,-0.19600000000000006,-0.07014925373134318,True,True,-0.007378358300219379,-0.015797337125264543,5,274.27510952475524,-2.023700030905557,-4.332816370231415
FOLD US,2014-11-17,2014-11-19,2014-11-17,2014-11-18,2014-11-19,FOLD US,Amicus Therapeutics Inc,103.529,13.85,6.5,"ADDL,Primary Share Offering",618.703,2.307692289,0.4615384638,['JP Morgan'],618.703,6.389761935155557,6.7183,6.7,-0.02985074626865669,0.033584615384615324,True,True,0.033584615384615324,0.03559633127429063,1,1277.9523870311114,42.91953939829094,45.49041652152991
KND US,2014-11-17,2014-11-20,2014-11-17,2014-11-19,2014-11-20,KND US,Kindred Healthcare LLC,106.567,5.0,19.75,"ADDL,Primary Share Offering",1382.69,0.0,5.316455841,"['JP Morgan', 'Citi', 'Guggenheim Capital', 'Morgan Stanley']",1382.69,17.642799379343085,20.3416,19.4,0.01804123711340222,0.029954430379746766,True,True,0.029954430379746766,0.030371575330290224,1,2131.3399999999997,63.84307564556946,64.73215336446076
ESNT US,2014-11-17,2014-11-19,2014-11-17,2014-11-19,2014-11-19,ESNT US,Essent Group Ltd,307.05,12.0,22.25,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",2058.66,0.0,6.741572857,"['JP Morgan', 'Goldman Sachs', 'Bank of America Merrill Lynch', 'Barclays', 'Credit Suisse', 'Macquarie']",2058.66,6.697600702266669,22.3311,23.76,-0.06355218855218858,0.003644943820224622,True,True,0.02523534735968669,0.02770984386614672,2,1339.5201404533339,33.80325603963618,37.117893947520805
PF US,2014-11-17,2014-11-18,2014-11-17,2014-11-18,2014-11-18,PF US,Pinnacle Foods Inc,747.5,20.0,32.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",0.0,0.0,1.230769277,"['Morgan Stanley', 'Bank of America Merrill Lynch']",3954.362,21.122775173305076,32.4351,33.72,-0.036180308422301244,-0.0019969230769231183,True,True,-0.0019969230769231183,-0.0054993130756973985,1,4224.555034661015,-8.436111438446325,-23.232150741114598
FCAU US,2014-11-13,2014-12-11,2014-11-13,2014-12-10,2014-12-11,FCAU US,Fiat Chrysler Automobiles NV,1100.0,87.0,11.0,"ADDL,Primary Share Offering",13991.1,2.545454502,1.636363626,"['Morgan Stanley', 'Citi', 'Bank of America Merrill Lynch', 'UBS', 'Barclays', 'JP Morgan', 'Goldman Sachs']",13991.1,15.90509666695466,11.3075,12.33,-0.10786699107866993,0.027954545454545343,True,True,0.027954545454545343,0.01981785658210522,1,3181.019333390932,88.92394954706434,63.04098493404544
HZNP US,2014-11-13,2014-11-14,2014-11-13,2014-11-14,2014-11-14,HZNP US,Horizon Therapeutics Plc,161.584,11.6604,12.05,"ADDL,Secondary Share Offering,VC Backed,VC Exit",1432.18,1.576761842,3.734438181,"['Citi', 'Morgan Stanley', 'Cowen & Co', 'Jefferies']",1432.18,21.217457460861112,12.1485,12.39,-0.027441485068603666,0.008174273858921222,True,True,0.008174273858921222,0.007182140132274251,1,3231.6800000000003,26.416637344398534,23.210378622668053
CODI US,2014-11-10,2014-11-11,2014-11-10,2014-11-11,2014-11-11,CODI US,Compass Diversified Holdings,105.0,6.0,17.5,"ADDL,Primary Share Offering",950.25,-1.828571439,-1.885714293,"['Morgan Stanley', 'Bank of America Merrill Lynch', 'Jefferies']",950.25,1.1418441868930425,16.9218,18.3,-0.04371584699453557,-0.03303999999999996,True,True,-0.03303999999999996,-0.03341463126843647,1,228.36883737860848,-7.545306386989214,-7.630860494207734
